"문화재 일련번호","문화재명칭_한글","한자","영문","수량ㆍ규모","규격","구조ㆍ형식","재질","조성연대","측량성과","소재지ㆍ보관장소_자치구","기타주소","관리청","지정일","해제일"
"11032","상봉동석등(하대석)","上鳳洞石燈(下臺石)",""," 1基","부동산건조물 대상항목 아님","석등","석조"," 고려시대로 추정","","중랑구","상봉동 344-1","","19801028","19930410"
"11033","상봉동전수덕사사리탑","上鳳洞傳修德寺舍利塔",""," 1基","부동산건조물 대상항목 아님","사리탑","석조","고려 성종","","중랑구"," 상봉동 344-1","","19801028","19930410"
"11034","양효공 안맹담과 정의공주 묘역","良孝公 安孟聃과 貞懿公主 墓域","Graveyard for Lord Yanghyo and Princess Jeongui"," 분묘 2基, 석물 10基, 토지 1,794㎡","부동산건조물 대상항목 아님","비신 높이 187㎝, 너비 104㎝, 두께 26㎝","귀부 화강암, 비신 대리석","","","도봉구","방학로 266-26, 방학로 266-16 (방학동)","","19821113",""
"11035","기기국 번사창","機器局 飜沙廠","Beonsachang of Ministry of Arms"," 건물 1棟, 토지 231.2㎡","부동산건조물 대상항목 아님","중국ㆍ서양 절충식","중국ㆍ서양 절충식","","","종로구"," 삼청로 118 (삼청동)","","19821217",""
"11036","중명전","重?殿","Jungmyeongjeon"," 1동","부동산건조물 대상항목 아님","2층 연와조","순양식 건물"," 1897~1900","","중구"," 정동 1-11","","19831111","20070207"
"11037","창빈 안씨 묘역","昌嬪 安氏 墓域","Graveyard for Lady Changbin An"," 분묘 1基, 석물 11基, 토지 414.3㎡","부동산건조물 대상항목 아님","전체 높이 312㎝, 비신 높이 204㎝, 너비 63.5㎝ 대좌 높이 38㎝, 개석 높이 70㎝","화강암","","","동작구"," 현충로 210 (동작동)","","19831111",""
"11038","정간공 이명 묘역","貞簡公 李蓂 墓域","Graveyard for Lord Jeonggan Yi Myeong"," 분묘 2基, 석물 11基, 토지 259.9㎡","부동산건조물 대상항목 아님","전체 높이 225㎝, 비신 높이 180㎝, 너비 81.5㎝, 두께 20㎝ 대좌 높이 45㎝, 너비 134㎝, 문관석 2기, 석등 1기, 묘갈 1기, 망주석 2기","비신 대리석, 대좌 화강암","","","노원구","초안산로7길 44, 초안산로7길 20 (월계동)","","19831111",""
"11039","종묘 어정","宗廟 御井","Eojeong"," 우물 1基, 토지 15.8㎡","부동산건조물 대상항목 아님","깊이 8m, 지름 1.5m","화강암","조선시대 초기","","종로구"," 훈정동 2, 62","종로구청","19831111",""
"11040","수표석","水標石",""," 1基","부동산건조물 대상항목 아님","높이 약 3m, 너비 약 20cm 부정 6면 방추형 돌기둥","화강암"," 조선 영조대(1749년)","","동대문구"," 청량리동 산 1-157","","19841114","19851209"
"11041","충헌공 김구 묘역","忠憲公 金構 墓域","Tomb Monument of Chungheongong Kim Gu"," 분묘 1基, 석물 9基, 토지 802.2㎡","부동산건조물 대상항목 아님","전체 높이 406㎝, 비신 높이 274㎝, 너비 102㎝, 두께 52㎝, 개석 높이 50㎝, 대좌 높이 82㎝","비신 대리석, 대좌·개석 화강암","조선 영조 19년(1743)","","송파구"," 방이동 88-3 몽촌토성내","","19841103",""
"11042","성안공 상진 묘역","成安公 尙震 墓域","Graveyard for Lord Seongan Sang Jin"," 분묘 1基, 석물 8基, 토지 426.1㎡","부동산건조물 대상항목 아님","전체 높이 362㎝, 비신 높이 220㎝, 너비 106㎝, 두께 36㎝ ","비신 대리석, 대좌·개석 화강암","","","서초구","명달로 45 (방배동)","","19841103",""
"11043","동래 정씨 임당공파 묘역","東萊 鄭氏 林塘公派 墓域","Graveyard for the Descendants of Lord Imdang, the Jeong Clan of Dongnae"," 분묘 21基, 석물 90기, 토지 3,754.4㎡","부동산건조물 대상항목 아님","전체 높이 247㎝, 비신 높이 188㎝, 너비 85㎝, 두께 26㎝","비신·이수 대리석, 대좌 화강암","","","동작구"," 솔밭로 83 (사당동)","","19841103",""
"11044","봉은사 선불당","奉恩寺 選佛堂","Seonbuldang Hall of Bongeunsa Temple"," 건물 1棟, 토지 344.3㎡","부동산건조물 대상항목 아님","정면 8칸 측면 3칸, 팔작지붕","석조기단 목조 기와집","","","강남구"," 봉은사로 531 (삼성동)","","19851205",""
"11045","화계사 대웅전","華溪寺 大雄殿","Daeungjeon Hall of Hwagyesa Temple"," 건물 1棟, 토지 122.3㎡","부동산건조물 대상항목 아님","목조와가, 정면 3칸 측면 3칸, 팔작지붕 다포집","석조기단 목조 기와집","","","강북구"," 인수봉로47길 117 (수유동)","","19851205",""
"11046","흥천사 극락보전","興天寺 極樂寶殿","Geungnakbojeon Hall of Heungcheonsa Temple"," 건물 1棟, 토지 120.4㎡","부동산건조물 대상항목 아님","정면 3칸 측면 3칸, 팔작지붕 다포집","석조기단 목조 기와집","","","성북구"," 흥천사길 29 (돈암동)","","19851205",""
"11047","흥천사 명부전","興天寺 冥府殿","Myeongbujeon Hall of Heungcheonsa Temple"," 건물 1棟, 토지 111.1㎡","부동산건조물 대상항목 아님","정면 3칸 측면 2칸, 맞배지붕 다포집","석조기단 목조 기와집","","","성북구"," 흥천사길 29 (돈암동)","","19851205",""
"11048","봉원사대웅전","奉元寺 大雄殿","Daeungjeon Hall of 봉원사"," 1棟","부동산건조물 대상항목 아님","정면3칸, 측면 3칸, 단층팔각기와","목조"," 1748년 (영조24년)","","서대문구"," 봉원동 1번지","","19851209","19930923"
"11049","충숙공 이상길 묘역","忠肅公 李尙吉 墓域","Graveyard for Lord Chungsuk Yi Sanggil"," 분묘 2基, 석물 7基, 토지 237.1㎡","부동산건조물 대상항목 아님","전체 높이 316㎝, 비신 높이 219㎝, 너비 89㎝, 두께 24㎝","신도비 화강석, 묘비 백일석","","","노원구"," 한글비석로 144 (하계동)","","19880420",""
"11050","옛 제일은행 본점","舊第一銀行 本店","Former First Bank HQ","건물1棟 토지 1,246.9㎡","부동산건조물 대상항목 아님","지하 1층, 지상 5층 르네상스 양식","구조 - 철골철근콘크리트 구조, 외장재 - 화강석","","","중구"," 충무로1가 53","","19890525",""
"11051","뚝도수원지 제1정수장","뚝도水源池 第1淨水場","Ttukdo Reservoir Purification Plant I","송수실 1동 312.4㎡ 완속여과지1개소 4433㎡","부동산건조물 대상항목 아님","지상 1층, 르네상스풍","구조 - 벽돌조, 외장재 - 벽돌","","","성동구"," 성수동1가 642","","19890911",""
"11052","탑골공원 팔각정 ","탑골公園 八角亭","Palgakjeong Pavilion of Tapgol Park"," 정자 1棟, 토지 152.8㎡","부동산건조물 대상항목 아님","단층 몰익공 겹처마 팔각모지붕","석조 기단, 목조","","","종로구"," 종로 99 탑골공원 (충무로1가)","종로구청","19890911",""
"11053","순흥안씨 양도공파 묘역","順興安氏 良度公派 墓域","Graveyard for the Descendants of Lord Yangdo, the An Clan of Sunheung"," 분묘 3基, 석물 21基, 토지 1,522.4㎡","부동산건조물 대상항목 아님","분묘3기 외 16종","복합","","","금천구"," 시흥동 산126-1","","19900618",""
"11054","풍산 심씨 문정공파 묘역","豊山 沈氏 文靖公派 墓域","Graveyard for the Descendants of Lord Munjeong, the Sim Clan of Pungsan","2,584㎡(분묘6기, 묘비5개, 상석4개, 신도비1개, 문무관석14개, 사당1동)","부동산건조물 대상항목 아님","2,584㎡(분묘6기, 묘비5개, 상석4개, 신도비1개, 문무관석14개, 사당1동)","복합","","","강서구","금낭화로 176, 양천로 125 (방화동)","","19911224",""
"11055","신선경과 유인호 묘역","?先庚과 柳仁濠 墓域","Tombs of the Geochang Shin Clan","묘역 1,695㎡ , 분묘 6기, 석물 18개","부동산건조물 대상항목 아님","신선경묘역-576㎡(분묘 2기, 묘비 1개, 상석 1개, 문무관석 2개) 유인호묘역-1,119㎡(분묘4기, 상석3개, 촛대석6개, 문무관석4개, 신도비1개)","복합","","","송파구"," 오금로 363 (오금동)","","19911224",""
"11056","여계 묘역","呂稽 墓域","Graveyard for Yeo Gye"," 분묘 2基, 석물 7基, 토지 467㎡","부동산건조물 대상항목 아님","1,025㎡(묘 2기, 묘비 1개, 상석 2개, 문무인석 4개)","복합","","","구로구"," 고척동 산6-3","","19911224",""
"11057","광주이씨 광릉부원군파 묘역","廣州李氏 廣陵府院君派 墓域","Graveyard for the Descendants of Lord Gwangneung, the Yi Clan of Gwangju","분묘 12基 석물 41基 토지 2,279.8㎡","부동산건조물 대상항목 아님","36,184㎡ (묘 11기, 상석과 석등, 문인석 2구, 무인석 2구)","복합","","","강동구"," 암사동 산12-1,12-4","","19930403",""
"11058","원지동 석불입상 및 석탑","院趾洞 石佛立像 및 石塔","Standing Stone Buddha Statue and Stone Pagoda in Wonji-dong "," 석불 1軀, 석탑 1基, 토지 1.1㎡   ","부동산건조물 대상항목 아님","불상 높이 2.25m, 석탑 높이 1.3m ","석조","조선시대","","서초구"," 원지동 362-4, 362-5","서초구청","19930403",""
"11059","효간공 이정영 묘역","孝簡公 李正英 墓域","Graveyard for Lord Hyogan Yi Jeongyeong"," 분묘 1基, 석물 9基, 토지 308.6㎡","부동산건조물 대상항목 아님","11,530㎡ (신도비 1기, 묘갈 1기, 상석 1기, 문인석 2기, 망주석 2기와 묘를 포함), 신도비는 가로 90㎝, 세로 30㎝, 높이 270㎝","복합 (신도비는 화강암)","조선숙종조, 17세기 말","","동작구"," 사당동 산32-79, 산44-7","","19940510",""
"11060","충익공 신경진 묘역","忠翼公 申景? 墓域","Graveyard for Lord Chungik Sin Gyeongjin"," 분묘 1基, 석물 8基, 토지 402.2㎡","부동산건조물 대상항목 아님","신도비 1기(基), 전체 높이 368㎝, 비신 높이 189㎝, 너비 99㎝, 두께 32㎝, 묘갈(墓碣) 1기, 문관석 2기, 망주석 2기","비신·개석 대리석, 귀부 화강암","","","중랑구"," 망우로70길 118 (망우동)","","19950125",""
"11061","문희공 유창 묘역","文僖公 劉敞 墓域","Graveyard for Lord Munhui Yu Chang"," 분묘 2基, 석물 6基, 토지 510.6㎡","부동산건조물 대상항목 아님","신도비 1기(基), 전체 높이 240㎝, 비신 높이 142㎝, 너비 53㎝, 두께 33㎝, 묘갈(墓碣) 1기, 문관석 2기, 망주석 2기","화강암","","","강동구"," 상일동 438-1","","19950125",""
"11062","오운정","五雲亭","Ounjeong Pavilion","1棟, 정면1칸, 측면1칸","부동산건조물 대상항목 아님","건평 7.5㎡, 사모정","목조","1865년 건립, 1989년 이건(移建)","","종로구"," 세종로1 청와대","종로구청","19971231",""
"11063","침류각","枕流閣","Chimnyugak ","1棟","부동산건조물 대상항목 아님","건평 78.42㎡, ㄱ자평면, 팔작지붕","석조기단, 누각","","","종로구"," 세종로1 청와대","종로구청","19971231",""
"11064","효민공 이경직 묘역","孝敏公 李景稷 墓域","Graveyard for Lord Hyomin Yi Gyeongjik"," 분묘 2基, 석물 8基, 토지 302㎡","부동산건조물 대상항목 아님","신도비 1기(基), 전체 높이 261㎝, 비신 높이 146㎝, 너비 56㎝, 두께 17㎝, 묘갈(墓碣) 1기, 문관석 1쌍, 망주석 2기","비신 대리석, 대좌·개석 화강암","조선 현종 9년(1668)","","관악구"," 남현동 산57-48","","19971231",""
"11065","전주 이씨 영해군파 묘역","全州 李氏 寧海君派 墓域","Graveyard for the Descendants of Prince Yeonghae, Yi Clan of Jeonju"," 분묘 10基, 석물 43基, 토지 1,630.4㎡","부동산건조물 대상항목 아님","신도비 1기(基), 전체 높이 301㎝, 비신 높이 162㎝, 너비 73.5㎝, 두께 25㎝, 묘갈(墓碣) 1기","비신 백일석(白一石), 대좌 화강암","","","도봉구"," 도봉로169라길 111-6 (도봉동)","","19971231",""
"11066","조계사 대웅전","曺溪寺 大雄殿","Daeungjeon Hall of Jogyesa Temple"," 건물 1동, 토지 1,143.5㎡","부동산건조물 대상항목 아님","정면 7칸, 측면 4칸, 팔작지붕 한식기와(대와) 다포양식","화강석, 목조 기와집","","","종로구"," 우정국로 55 (견지동)","","20000910","20121123"
"11067","경교장","京橋莊","Gyeonggyojang","1棟","부동산건조물 대상항목 아님","3층(지하1층, 지상２층) 건축면적 396.69㎡, 연면적 945.45㎡ ","철근 콘크리트 ","","","종로구"," 새문안로 29","","20010406","20050613"
"11068","승동교회","勝洞敎會","Seung Dong Presbyterian Church"," 건물 1棟, 토지 729.2㎡","부동산건조물 대상항목 아님","지하 1층, 지상 2층 로마네스크풍","구조- 벽돌조, 외장재- 적벽돌","","","종로구"," 인사동길 7-1 (인사동)","","20010406",""
"11069","동아일보 사옥","東亞日報 社屋","The Office Building of the Dong-a Ilbo"," 건물 1棟, 토지 5,657.8㎡","부동산건조물 대상항목 아님","지상 6층 지하 1층 근대적 르네상스풍","구조- 철근콘크리트 구조, 외장재- 석재와 화장 타일","","","종로구"," 세종로 139","","20010406",""
"11070","미국공사관","東亞日報 社屋","Former American Legation"," 건물 1棟","부동산건조물 대상항목 아님","몸채 단층 팔작기와지붕, 행랑 맞배기와지붕","석조 기단, 벽돌조, 목조","","","중구"," 덕수궁길 83 (정동)","","20010406",""
"11071","순명비 유강원 석물","純明妃 裕康園 石物","Stone Monuments from Yugangwon in the Graveyard of Empress Sunmyeong"," 석물 42基, 토지 10.5㎡","부동산건조물 대상항목 아님","난간돌 및 받침돌 25개, 문신석2기, 무신석 2기, 혼유석 1기, 명등석 받침 3개, 마석 2기, 양석 2기, 호석 4기, 유강원 표석 1기 ","석조","","","광진구"," 능동로 216 (능동)","서울특별시 시설관리공단","20010716",""
"11072","이화장","梨花莊","","1,821평, 건평 69.9평(약 230㎡)","부동산건조물 대상항목 아님","본채 정면 7칸, 측면 6칸, 단층 팔작지붕, 조각당 정면 2칸 반, 측면 2칸 반, 맞배지붕","목조","1934년~1939년","","종로구","이화동 1 등","","19821228","20080428"
"11073","만해 한용운 심우장","萬海 韓龍雲 尋牛莊","Manhae Han Yongun's Simunjang","건물 1棟, 토지 88.6㎡ ","부동산건조물 대상항목 아님","단층 팔작기와지붕","석조 기단, 목조","1933년","","성북구"," 성북동 222-1, 222-2, 224-85","","19840705",""
"11074","배재학당 동관","培材學堂 東館","East Building of Paichai Hakdang"," 건물 1棟(3면 계단 포함), 토지 114.5㎡","부동산건조물 대상항목 아님","목조트러스지붕구조","벽돌조적조,목조","","","중구"," 서소문로11길 19 (정동)","","20010315",""
"11075","구용산수위관측소","舊龍山水位觀測所","Old Yongsan Water Level Observatory","관측소 1棟, 토지 10.9㎡","부동산건조물 대상항목 아님","철근콘크리트 우물통 형식의 자기관측소","철근콘크리트","일제강점기(1924년)","","용산구"," 청암동 169, 169-1","서울특별시한강관리사업소","20020201",""
"11076","광통관","廣通館","Gwangtonggwan"," 건물 1棟, 토지 437.2㎡","부동산건조물 대상항목 아님","경량철골지붕트러스구조","조적조,철근콘크리트조","","","중구"," 남대문로 118 (남대문로1가)","","20020305",""
"11077","구세군 중앙회관","救世軍 中央會館","Central Hall of the Salvation Army"," 건물 1棟, 토지 798.7㎡","부동산건조물 대상항목 아님","지상 2층","연와조 시멘 와즙","","","중구","덕수궁길 130 (정동)","","20020305",""
"11078","아차산 홍련봉 보루유적","峨嵯山紅蓮峰堡壘遺蹟","","66,654㎡","부동산건조물 대상항목 아님","낮은 봉우리에 쌓은 소형 석축산성","복합","","","광진구","구의동 산10-1 등 17필지","","20021005","20041027"
"11079","류순정·류홍 부자 묘역","柳順汀·柳泓 父子 墓域","Graveyard for Ryu Sunjeong and Ryu Hong"," 분묘 3基, 석물 22基, 토지 896.3㎡","부동산건조물 대상항목 아님","분묘 2개소(면적 665㎡)와 석물 23기","복합","","","구로구"," 오류동 산43-31, 오리로13가길 42 (오류동)","","20040820",""
"11080","해공 신익희 가옥","海公 申翼熙 家屋","Haegong Shin Ik Hi’s House"," 건물 2棟, 토지 91.3㎡ (안채 60.2㎡, 사랑채 31.1㎡)","부동산건조물 대상항목 아님","안채(목조와즙-'ㄱ'자형, 겹처마 팔작지붕), 사랑채(시멘트벽돌조와즙-'ㅡ'자형, 겹처마 팔작지붕)","안채 - 목조, 와즙 사랑채 - 시멘트, 벽돌조, 와즙","","","종로구"," 자하문로24길 49-7 (효자동)","","20050211",""
"11081","화의군 이영 묘역","和義君 李瓔 墓域","Graveyard for Prince Hwaui Yi Yeong "," 분묘 1基,석물 10기,토지 265㎡","부동산건조물 대상항목 아님","단분합장 묘 면적 265㎡, ","화강암 및 복합","15세기 후반~16세기 후반","","은평구"," 진관동 산42","","20051208",""
"11082","영산군 이전 묘역","寧山君 李? 墓域","Graveyard for Prince Yeongsan Yi Jeon"," 분묘 1基, 석물 10基, 토지 344㎡","부동산건조물 대상항목 아님","쌍분삼위장(雙墳三位葬)","복합","조선시대(16c 중반)","","은평구"," 진관동 산39","","20070215",""
"11083","충정공 목서흠 묘역","忠貞公 睦?欽 墓域","Tomb of Mok Seo-heum"," 분묘 1基, 석물 8基, 토지 204.9㎡","부동산건조물 대상항목 아님","봉분과 석물","복합","","","도봉구","방학로 252-18 (방학동)","","20090625",""
"11084","관성묘","關聖廟","","1棟","부동산건조물 대상항목 아님","16평 넓이의 기와 건물로","복합","","","종로구","성균관로 25-2 (명륜동 3가)","","19720830","19901203"
"11085","서빙고동 부군당","西氷庫洞 府君堂","Bugundang Shrine in Seobinggo-dong"," 건물 2棟, 토지 88㎡","부동산건조물 대상항목 아님","정면 1칸, 측면 1칸의 맞배기와지붕, ㄱ자형의 재실(부엌, 마루, 온돌방, 창고)","장대석-화강암, 터줏대-시멘트, ","","","용산구","서빙고로59길 3-6 (서빙고동)","용산구청","19730126",""
"11086","평창동 보현산신각","平倉洞 普賢山神閣","Bohyeon Sansingak in Pyeongchang-dong"," 건물 1棟, 토지 21.8㎡","부동산건조물 대상항목 아님","정면1칸, 측면1칸, 맞배지붕","목조","조선시대","","종로구"," 평창동 541-1","종로구청","19730126",""
"11087","와룡묘","臥龍廟","Waryongmyo (Shrine)"," 건물 3棟, 토지 166.6㎡","부동산건조물 대상항목 아님","목조와가","복합","","","중구"," 예장동 산5-6","","19740115",""
"11088","관성묘","關聖廟","Gwanseongmyo (Shrine)"," 건물 1棟, 토지 31.6㎡","부동산건조물 대상항목 아님","정면 1칸 목조와가","목조","조선시대","","중구"," 장충동2가 186-140","","19740115",""
"11089","장교동 한규설 가옥","長橋洞 韓圭卨 家屋","Han Gyuseol's House in Janggyo-dong"," 건물 8棟, 토지 403.5㎡","부동산건조물 대상항목 아님","팔작지붕","석조 기단, 목조","","","성북구"," 정릉로 77  국민대학교 (정릉동)","","19770317",""
"11090","삼청동 오위장 김춘영 가옥","三淸洞 五衛將 金春永 家屋","Gim Chunyeong’s House in Samcheong-dong"," 건물 1棟 , 토지 167.9㎡","부동산건조물 대상항목 아님","안채 단층 팔작지붕, 사랑채 맞배지붕","석조 기단, 목조","","","중구"," 퇴계로34길 28 남산골한옥마을 (필동2가)","서울특별시","19770317",""
"11091","도정궁 경원당","都正宮 慶原堂","Jeong Jaemun's House in Sajik-dong"," 건물 1棟, 토지 249.3㎡","부동산건조물 대상항목 아님","단층 팔작지붕","석조 기단, 목조","","","광진구"," 능동로 120 건국대학교 (모진동)","","19770317",""
