"연번","업소명","업종","업태","소재지","도로명주소","전화번호","한실수","양실수"
"139","봉황장여관","숙박업(일반)","여관업","서울특별시 종로구 낙원동 111번지 4호","서울특별시 종로구 수표로28길 12-3, (낙원동)","02-763-0590","4","11"
"140","동문모텔","숙박업(일반)","여관업","서울특별시 종로구 창신동 447번지 2호","서울특별시 종로구 종로46가길 8, (창신동)","02-764-3945","14",""
"141","킴스관광호텔","숙박업(일반)","관광호텔","서울특별시 종로구 평창동 66번지 50호","서울특별시 종로구 평창문화로 136, (평창동)","02-379-0520","8","43"
"142","(주)서울53호텔 인사동","숙박업(일반)","여관업","서울특별시 종로구 익선동 53번지","서울특별시 종로구 돈화문로11나길 53, (익선동)","02-741-1917","","28"
"143","스위스장","숙박업(일반)","여관업","서울특별시 종로구 충신동 150번지 250호","서울특별시 종로구 율곡로 230-23, (충신동)","02-741-4124","7","15"
"144","백제장","숙박업(일반)","여관업","서울특별시 종로구 효제동 179번지 2호","서울특별시 종로구 대학로2길 49-2, (효제동)","02-763-9793","11","19"
"145","(주)종로크라운","숙박업(일반)","관광호텔","서울특별시 종로구 낙원동 33번지","서울특별시 종로구 삼일대로30길 9, (낙원동)","02-765-0441","","60"
"146","벤허모텔2","숙박업(일반)","여관업","서울특별시 종로구 종로5가 110번지","서울특별시 종로구 대학로1길 37, (종로5가)","02-747-1031","26",""
"147","금성장여관","숙박업(일반)","여관업","서울특별시 종로구 창신동 279번지","서울특별시 종로구 종로 339-10, (창신동)","02-763-6687","11","0"
"148","한일","숙박업(일반)","여관업","서울특별시 종로구 효제동 240번지 2호","서울특별시 종로구 대학로2길 25-4, (효제동)","02-0763-9124","14",""
"149","대영","숙박업(일반)","여관업","서울특별시 종로구 숭인동 211번지 14호","서울특별시 종로구 난계로29길 65-15, (숭인동)","02-2252-3839","15",""
"150","호텔 패밀리아 인(Hotel Familia INN)","숙박업(일반)","여관업","서울특별시 종로구 창신동 383번지","서울특별시 종로구 종로 322-6, (창신동)","070-4921-6506","18",""
"151","선샤인 게스트하우스","숙박업(일반)","여관업","서울특별시 종로구 돈의동 30번지","서울특별시 종로구 수표로28길 28, (돈의동)","02-0582-2986","4","18"
"152","코스테이 종각/인사동점","숙박업(일반)","여관업","서울특별시 종로구 인사동 258번지","서울특별시 종로구 종로 63-13, (인사동)","02-735-1018","16",""
"153","스카이모텔","숙박업(일반)","여관업","서울특별시 종로구 효제동 199번지","서울특별시 종로구 종로35가길 3, (효제동)","02-2266-9404","13","20"
"154","세피앙","숙박업(일반)","여관업","서울특별시 종로구 익선동 80번지","서울특별시 종로구 돈화문로11가길 49, (익선동)","02-747-4206","3","17"
"155","시티파크호텔","숙박업(일반)","일반호텔","서울특별시 종로구 운니동 24번지 1호","서울특별시 종로구 돈화문로11가길 89, (운니동)","02-744-4197","4","39"
"156","호텔 유","숙박업(일반)","여관업","서울특별시 종로구 낙원동 164번지 3호","서울특별시 종로구 돈화문로9길 37, (낙원동)","02-763-3000","3","25"
"157","에비뉴162","숙박업(일반)","여관업","서울특별시 종로구 낙원동 162번지","서울특별시 종로구 수표로22길 9, (낙원동)","02-765-3186","4","10"
"158","익선","숙박업(일반)","여인숙업","서울특별시 종로구 익선동 85번지","서울특별시 종로구 돈화문로11가길 43-4, (익선동)","02-744-7182","",""
"159","호텔통","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 459번지 20호","서울특별시 종로구 종로48길 23, (창신동)","02-7624-576","2","9"
"160","나그네 하우스","숙박업(일반)","여관업","서울특별시 종로구 체부동 64번지","서울특별시 종로구 자하문로1나길 6, (체부동)","02-737-3190","8",""
"161","미도모텔","숙박업(일반)","여관업","서울특별시 종로구 청진동 140번지","서울특별시 종로구 종로3길 24-20, (청진동)","02-735-6464","",""
"162","아미가여관","숙박업(일반)","여관업","서울특별시 종로구 연지동 193번지 9호","서울특별시 종로구 종로31길 46-8, (연지동)","02-3672-7970","8","25"
"163","임스 하우스","숙박업(일반)","여관업","서울특별시 종로구 와룡동 33번지","서울특별시 종로구 율곡로10길 24, (와룡동)","02-747--3332","","23"
"164","화 모텔","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 459번지 14호","서울특별시 종로구 종로48길 29-2, (창신동)","02-2264-7002","4","9"
"165","호텔 야자(종로점)","숙박업(일반)","여관업","서울특별시 종로구 낙원동 87번지 1호","서울특별시 종로구 수표로28길 9-1, (낙원동)","02-764-1233","","53"
"166","티(T)","숙박업(일반)","여관업","서울특별시 종로구 돈의동 163번지","서울특별시 종로구 수표로22길 20-3, (돈의동)","02-731-4845","","32"
"167","그린파크","숙박업(일반)","여관업","서울특별시 종로구 숭인동 296번지 23호","서울특별시 종로구 종로56길 14, (숭인동)","02-2234-4552","","28"
"168","스타호스텔","숙박업(일반)","여관업","서울특별시 종로구 돈의동 19번지","서울특별시 종로구 돈화문로11다길 9, (돈의동)","070-8668-5727","7","10"
"169","HOTEL POP","숙박업(일반)","일반호텔","서울특별시 종로구 낙원동 186번지","서울특별시 종로구 수표로22길 16, (낙원동)","02-743-1450","2","33"
"170","호텔앳홈","숙박업(일반)","여관업","서울특별시 종로구 연지동 200번지","서울특별시 종로구 종로31길 40, (연지동)","02-762-4311","","42"
"171","덕흥","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1132번지","서울특별시 종로구 보문로1길 7-14, (숭인동)","02-926-1819","13",""
"172","알리앙스","숙박업(일반)","여관업","서울특별시 종로구 낙원동 160번지 1호","서울특별시 종로구 수표로22길 15, (낙원동)","0-742-2211","",""
"173","스카이호텔","숙박업(일반)","여관업","서울특별시 종로구 관철동 28번지 1호","서울특별시 종로구 삼일대로 388-5, (관철동)","02-2275-7127","","28"
"174","호텔누누","숙박업(일반)","여관업","서울특별시 종로구 낙원동 181,183번지","서울특별시 종로구 수표로22길 6, (낙원동)","02-766-2121","","48"
"175","누누모텔","숙박업(일반)","여관업","서울특별시 종로구 낙원동 180번지","서울특별시 종로구 수표로22길 6, (낙원동)","02-766-2121","","44"
"176","스카이모텔","숙박업(일반)","여관업","서울특별시 종로구 낙원동 76번지","서울특별시 종로구 삼일대로26길 9, (낙원동)","02-765-4481","2","19"
"177","호텔썬비","숙박업(일반)","일반호텔","서울특별시 종로구 관훈동 198번지 11호","서울특별시 종로구 인사동7길 26, (관훈동)","02-737-8857","","42"
"178","호텔 스타","숙박업(일반)","여관업","서울특별시 종로구 낙원동 153번지 2호","서울특별시 종로구 돈화문로9길 29, (낙원동)","02-745-4585","","25"
"179","스카이모텔","숙박업(일반)","여관업","서울특별시 종로구 낙원동 169번지 1호 외1필지(170번지)","서울특별시 종로구 수표로22길 5, (낙원동,외1필지(170번지))","02-765-1700","","50"
"180","유토피아","숙박업(일반)","여관업","서울특별시 종로구 효제동 192번지","서울특별시 종로구 종로35길 10, (효제동)","02-747-8869","","40"
"181","시네마모텔","숙박업(일반)","여관업","서울특별시 종로구 낙원동 84번지","서울특별시 종로구 수표로28길 12-5, (낙원동)","02-3676-9664","","46"
"182","호텔 노바","숙박업(일반)","여관업","서울특별시 종로구 낙원동 132번지 6호 외1필지(132-7)","서울특별시 종로구 수표로26길 7, (낙원동,외1필지(132-7))","019-570-1660","","29"
"183","와이키키","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1408번지","서울특별시 종로구 난계로29길 19-5, (숭인동)","02-2235-9807","7","13"
"184","피카소모텔","숙박업(일반)","일반호텔","서울특별시 종로구 낙원동 161번지","서울특별시 종로구 수표로22길 11, (낙원동)","02-741-6389","","29"
"185","대림장","숙박업(일반)","일반호텔","서울특별시 종로구 종로5가 214번지 4호","서울특별시 종로구 종로 232-5, (종로5가)","02-2263-0218","","15"
"186","몽호텔","숙박업(일반)","여관업","서울특별시 종로구 관철동 34번지 1호","서울특별시 종로구 종로16길 28, (관철동)","0119-7174-543","","67"
"187","쉴","숙박업(일반)","일반호텔","서울특별시 종로구 관수동 137번지 외2필지","서울특별시 종로구 수표로18길 10, (관수동,외2필지)","02-2278-9993","","58"
"188","카라모텔","숙박업(일반)","여관업","서울특별시 종로구 숭인동 200번지 23호","서울특별시 종로구 난계로29길 62, (숭인동)","","","18"
"189","영진여인숙","숙박업(일반)","일반호텔","서울특별시 종로구 숭인동 70번지 25호","서울특별시 종로구 지봉로12가길 63, (숭인동)","02-763-5235","2","6"
"190","둘로스 호텔","숙박업(일반)","일반호텔","서울특별시 종로구 관수동 112번지","서울특별시 종로구 수표로18길 22, (관수동)","02-2266-2244","","46"
"191","투헤븐(2heaven)","숙박업(일반)","일반호텔","서울특별시 종로구 낙원동 133번지","서울특별시 종로구 수표로26길 11, (낙원동)","02-2237-2949","","38"
"192","노블관광호텔","숙박업(일반)","관광호텔","서울특별시 종로구 운니동 19번지","서울특별시 종로구 율곡로6길 13-3, (운니동)","","","34"
"193","화성장","숙박업(일반)","여관업","서울특별시 종로구 낙원동 92번지","서울특별시 종로구 삼일대로26길 10, (낙원동)","02-765-3834","15","14"
"194","우미관호텔","숙박업(일반)","일반호텔","서울특별시 종로구 관철동 15번지 1호 3,5,6층","서울특별시 종로구 종로14길 4, (관철동,3,5,6층)","02-720-0385","0","24"
"195","투호텔","숙박업(일반)","여관업","서울특별시 종로구 효제동 197번지 6호","서울특별시 종로구 종로35가길 7-3, (효제동)","02-764-2220","","33"
"196","비에이치케이공일(BHK-01)","숙박업(일반)","일반호텔","서울특별시 종로구 관철동 21번지","서울특별시 종로구 삼일대로 388-7, (관철동)","022-268-2959","0","36"
"197","아마레","숙박업(일반)","여관업","서울특별시 종로구 낙원동 163번지 외 1필지(165번지)","서울특별시 종로구 수표로22길 7, (낙원동,외 1필지(165번지))","02-747-0566","0","62"
"198","지에스호텔","숙박업(일반)","여관업","서울특별시 종로구 관수동 87번지","서울특별시 종로구 돈화문로 5-5, (관수동)","02-2774-2334","0","29"
"199","호텔팝2","숙박업(일반)","여관업","서울특별시 종로구 낙원동 185번지 1호","서울특별시 종로구 수표로22길 14, (낙원동)","02-744-7070","0","12"
"200","제이알(JR)","숙박업(일반)","여관업","서울특별시 종로구 인사동 87번지","서울특별시 종로구 삼일대로 401-20, (인사동)","02-722-0003","0","29"
"201","호텔라포레","숙박업(일반)","여관업","서울특별시 종로구 낙원동 184번지","서울특별시 종로구 수표로22길 10, (낙원동)","02-744-7744","0","12"
"202","아벤트리호텔종로점","숙박업(일반)","관광호텔","서울특별시 종로구 견지동 65번지 1호","서울특별시 종로구 우정국로 46, (견지동)","02-2139-8223","0","155"
"203","호텔 컬리넌","숙박업(일반)","숙박업 기타","서울특별시 종로구 낙원동 142번지","서울특별시 종로구 수표로26길 6, (낙원동)","02-744-8441","0","50"
"204","서울종로호텔","숙박업(일반)","여관업","서울특별시 종로구 익선동 30번지 1호 4~6층","서울특별시 종로구 돈화문로11나길 63, 4~6층 (익선동)","070-8161-6441","0","11"
"205","아이엠티호텔","숙박업(일반)","여관업","서울특별시 종로구 관수동 140번지","서울특별시 종로구 수표로 117, (관수동)","02-2266-9700","0","43"
"1","그린모텔","숙박업(일반)","여관업","서울특별시 종로구 창신동 687번지 20호","서울특별시 종로구 창신길 9-8, (창신동)","02-742-9581","8","2"
"2","호스텔 바닐라 1","숙박업(일반)","여관업","서울특별시 종로구 창신동 581번지 8호","서울특별시 종로구 창신길 28-7, (창신동)","02-763-3783","10",""
"3","영모텔","숙박업(일반)","여관업","서울특별시 종로구 숭인동 339번지","서울특별시 종로구 보문로7길 5-1, (숭인동)","02-927-6393","10",""
"4","호텔더디자이너스 종로","숙박업(일반)","일반호텔","서울특별시 종로구 관수동 14번지 1호","서울특별시 종로구 수표로 89-8, (관수동)","02-2267-7474","","41"
"5","대진","숙박업(일반)","여관업","서울특별시 종로구 창신동 555번지","서울특별시 종로구 창신1길 6, (창신동)","02-743-5242","10",""
"6","대호","숙박업(일반)","여관업","서울특별시 종로구 명륜3가 149번지","서울특별시 종로구 성균관로1길 6-2, (명륜3가)","02-745-7477","19",""
"7","몬스터게스트하우스","숙박업(일반)","여관업","서울특별시 종로구 숭인동 414번지","서울특별시 종로구 보문로9길 9, (숭인동)","02-923-9639","7","7"
"8","동미","숙박업(일반)","여관업","서울특별시 종로구 숭인동 178번지 73호","서울특별시 종로구 종로65길 12-26, (숭인동)","02-763-3638","11",""
"9","삼오","숙박업(일반)","여관업","서울특별시 종로구 숭인동 227번지 5호","서울특별시 종로구 종로60길 9, (숭인동)","02-2232-7122","11",""
"10","대지","숙박업(일반)","여관업","서울특별시 종로구 창신동 464번지 8호","서울특별시 종로구 종로48길 4, (창신동)","02-764-3334","3","7"
"11","만남모텔","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1127번지","서울특별시 종로구 보문로1길 7-20, (숭인동)","02-928-5974","10",""
"12","신도여인숙","숙박업(일반)","여인숙업","서울특별시 종로구 무악동 46번지 131호","서울특별시 종로구 통일로12가길 16-11, (무악동)","02-737-2337","7",""
"13","한도","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 395번지 28호","서울특별시 종로구 지봉로4길 8-3, (창신동)","02-235-4463","9",""
"14","순금장여관","숙박업(일반)","여인숙업","서울특별시 종로구 숭인동 327번지","서울특별시 종로구 지봉로12길 90, (숭인동)","02-923-9163","10",""
"15","SAE WHA HOSTEL","숙박업(일반)","여관업","서울특별시 종로구 익선동 79번지","서울특별시 종로구 삼일대로32가길 50, (익선동)","02-765-2881","13","2"
"16","언니네 게스트하우스","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1137번지","서울특별시 종로구 보문로1길 7-6, (숭인동)","02-928-8485","14",""
"17","쉬고(shigo)","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1064번지","서울특별시 종로구 숭인동길 14-8, (숭인동)","02-926-2482","13",""
"18","강원장","숙박업(일반)","여관업","서울특별시 종로구 효제동 207번지 0호","서울특별시 종로구 종로35길 26-4, (효제동)","02-762-9187","15",""
"19","명신","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 459번지 26호","서울특별시 종로구 종로48길 15-2, (창신동)","02-2234-0453","11",""
"20","센츄럴관광호텔","숙박업(일반)","관광호텔","서울특별시 종로구 장사동 227번지 1호","서울특별시 종로구 청계천로 137, (장사동)","02-6365-6500","10","62"
"21","독립문호텔","숙박업(일반)","여관업","서울특별시 종로구 교북동 1번지 12호 45,43","서울특별시 종로구 통일로 220, (교북동,45,43)","02-733-3555","","37"
"22","동성","숙박업(일반)","여관업","서울특별시 종로구 숭인동 264번지","서울특별시 종로구 종로58길 6-6, (숭인동)","02-2234-8760","10",""
"23","캐슬장","숙박업(일반)","여관업","서울특별시 종로구 숭인동 207번지 6호","서울특별시 종로구 난계로29길 64-3, (숭인동)","02-2252-6407","15",""
"24","영진","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1126번지","서울특별시 종로구 보문로1길 7-22, (숭인동)","02-928-5030","9",""
"25","삼원","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 457번지 11호","서울특별시 종로구 종로52길 18-6, (창신동)","02-764-2836","7",""
"26","수정","숙박업(일반)","여인숙업","서울특별시 종로구 숭인동 188번지","서울특별시 종로구 종로67길 3-12, (숭인동)","02-763-3137","8",""
"27","VATICA HOTEL(바티카 호텔)","숙박업(일반)","관광호텔","서울특별시 종로구 창신동 436번지 73호","서울특별시 종로구 청계천로 341, (창신동)","02-741-7080","2","48"
"28","게스트 하우스 코리아","숙박업(일반)","여관업","서울특별시 종로구 권농동 155번지 2호","서울특별시 종로구 율곡로10길 17, (권농동)","02-765-3032","20",""
"29","베이지","숙박업(일반)","여관업","서울특별시 종로구 창신동 173번지","서울특별시 종로구 종로 321, (창신동)","02-2743-5242","9","6"
"30","가야","숙박업(일반)","여관업","서울특별시 종로구 숭인동 1092번지","서울특별시 종로구 보문로3길 17-4, (숭인동)","02-923-6327","11",""
"31","호스텔 바닐라 2","숙박업(일반)","여관업","서울특별시 종로구 숭인동 66번지 8호","서울특별시 종로구 종로57길 34-8, (숭인동)","02-763-4548","10",""
"32","성도","숙박업(일반)","여인숙업","서울특별시 종로구 숭인동 225번지 2호","서울특별시 종로구 종로60길 7-1, (숭인동)","02-2238-8373","11",""
"33","아로마","숙박업(일반)","여관업","서울특별시 종로구 체부동 48번지","서울특별시 종로구 자하문로 9, (체부동)","02-735-8641","11","12"
"34","동명","숙박업(일반)","여관업","서울특별시 종로구 창신동 463번지 1호","서울특별시 종로구 종로46길 11, (창신동)","02-743-0161","10",""
"35","선일","숙박업(일반)","여인숙업","서울특별시 종로구 숭인동 226번지 6호","서울특별시 종로구 종로60길 19, (숭인동)","02-2236-3819","11",""
"36","별궁여관","숙박업(일반)","여인숙업","서울특별시 종로구 숭인동 178번지 49호","서울특별시 종로구 종로65가길 17, (숭인동)","02-763-6775","12",""
"37","광화장","숙박업(일반)","여관업","서울특별시 종로구 당주동 170번지 1호","서울특별시 종로구 새문안로5길 5-3, (당주동)","02-738-0751","35",""
"38","BM 호스텔 동대문역점","숙박업(일반)","여관업","서울특별시 종로구 창신동 436번지 13호","서울특별시 종로구 종로44길 22, (창신동)","02-764-3755","12",""
"39","동대문관광호텔","숙박업(일반)","관광호텔","서울특별시 종로구 창신동 444번지 14호","서울특별시 종로구 종로 286, (창신동)","02-741-7811","6","46"
"40","스타호스텔 동대문점(star hostel dongdaemun)","숙박업(일반)","여관업","서울특별시 종로구 효제동 243번지","서울특별시 종로구 대학로2길 25, (효제동)","02-762-8671","12",""
"41","낙원","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 392번지 2호","서울특별시 종로구 종로52길 50-5, (창신동)","02-763-1010","14",""
"42","진흥","숙박업(일반)","여인숙업","서울특별시 종로구 숭인동 190번지 4호","서울특별시 종로구 종로67길 3-6, (숭인동)","02-763-4609","10",""
"43","YMCA관광호텔","숙박업(일반)","관광호텔","서울특별시 종로구 종로2가 9번지","서울특별시 종로구 종로 69, (종로2가)","02-732-8297","","30"
"44","세원","숙박업(일반)","여관업","서울특별시 종로구 종로3가 166번지 2호","서울특별시 종로구 돈화문로4길 37, (종로3가)","02-2265-2127","12","11"
"45","장안여관","숙박업(일반)","여관업","서울특별시 종로구 종로6가 96번지 1호","서울특별시 종로구 종로 269-8, (종로6가)","02-743-1616","13",""
"46","대동장","숙박업(일반)","여관업","서울특별시 종로구 종로5가 66번지 1호","서울특별시 종로구 대학로2길 12, (종로5가)","02-762-8027","3","14"
"47","비즈","숙박업(일반)","여인숙업","서울특별시 종로구 관수동 31번지 2호","서울특별시 종로구 수표로20길 16-6, (관수동)","02-2279-4825","10",""
"48","라임모텔","숙박업(일반)","여인숙업","서울특별시 종로구 종로5가 93번지","서울특별시 종로구 대학로1길 9, (종로5가)","02-763-9336","18",""
"49","더안호스텔","숙박업(일반)","여관업","서울특별시 종로구 묘동 141번지","서울특별시 종로구 돈화문로 61, (묘동)","02-765-4579","18",""
"50","한평","숙박업(일반)","여관업","서울특별시 종로구 관철동 18번지 6호","서울특별시 종로구 종로12길 6-11, (관철동)","02-734-6949","6","8"
"51","저스트포유(JUST4U)","숙박업(일반)","여관업","서울특별시 종로구 종로6가 119번지","서울특별시 종로구 종로43길 5, (종로6가)","02-744-2073","","11"
"52","애플백팩커스","숙박업(일반)","여관업","서울특별시 종로구 익선동 158번지 3호","서울특별시 종로구 돈화문로11가길 21, (익선동)","02-3672-1979","4","11"
"53","모텔K","숙박업(일반)","여관업","서울특별시 종로구 명륜4가 162번지 3호","서울특별시 종로구 대학로11길 37, (명륜4가)","02-762-6424","10",""
"54","비원게스트하우스","숙박업(일반)","여관업","서울특별시 종로구 운니동 28번지 2호","서울특별시 종로구 돈화문로11가길 77-4, (운니동)","02-765-0670","2","17"
"55","삼성모텔","숙박업(일반)","여관업","서울특별시 종로구 관철동 23번지","서울특별시 종로구 종로16길 18, (관철동)","02-2266-8164","4","35"
"56","비즈모텔","숙박업(일반)","여관업","서울특별시 종로구 관수동 21번지 10호","서울특별시 종로구 수표로18길 17, (관수동)","02-279-4825","13","5"
"57","더칠이공(The 720)","숙박업(일반)","여관업","서울특별시 종로구 명륜2가 167번지 1호","서울특별시 종로구 창경궁로33길 5, (명륜2가)","02-762-6920","10",""
"58","서울장","숙박업(일반)","여인숙업","서울특별시 종로구 종로5가 21번지 1호","서울특별시 종로구 대학로2길 52, (종로5가)","02-766-4377","9",""
"59","사바모텔","숙박업(일반)","여관업","서울특별시 종로구 낙원동 171번지 1호","서울특별시 종로구 수표로22길 3, (낙원동)","02-765-3672","8","12"
"60","테크노모텔","숙박업(일반)","여관업","서울특별시 종로구 낙원동 191번지","서울특별시 종로구 돈화문로5길 28-3, (낙원동)","02-765-1341","1","24"
"61","부전","숙박업(일반)","여관업","서울특별시 종로구 창신동 580번지 32호","서울특별시 종로구 창신1길 9, (창신동)","02-763-1138","10","0"
"62","헬로인 호텔","숙박업(일반)","일반호텔","서울특별시 종로구 낙원동 149번지","서울특별시 종로구 돈화문로9길 38, (낙원동)","02-764-0353","1","33"
"63","비즈","숙박업(일반)","일반호텔","서울특별시 종로구 낙원동 75번지","서울특별시 종로구 삼일대로26길 7, (낙원동)","02-743-2001","10","14"
"64","호텔가온 종로","숙박업(일반)","여관업","서울특별시 종로구 인사동 80번지 1호","서울특별시 종로구 삼일대로 401-8, (인사동)","02-723-0284","33","2"
"65","얼데인(all dayinn)","숙박업(일반)","여관업","서울특별시 종로구 효제동 21번지 10호","서울특별시 종로구 대학로 39, (효제동)","02-763-8910","17",""
"66","미니호텔 달콤","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 450번지 6호","서울특별시 종로구 종로48길 26-3, (창신동)","02-763-3731","10",""
"67","한일여관","숙박업(일반)","여관업","서울특별시 종로구 관수동 57번지","서울특별시 종로구 종로18길 5, (관수동)","02-2265-5968","10","10"
"68","창경장","숙박업(일반)","여관업","서울특별시 종로구 원남동 197번지 1호","서울특별시 종로구 동순라길 130, (원남동)","02-763-2125","","19"
"69","피카소","숙박업(일반)","여관업","서울특별시 종로구 효제동 19번지 1호","서울특별시 종로구 대학로 42-7, (효제동)","02-741-5673","16","12"
"70","자바모텔","숙박업(일반)","여관업","서울특별시 종로구 숭인동 200번지 32호","서울특별시 종로구 난계로29길 56, (숭인동)","02-2232-3807","5","15"
"71","산장","숙박업(일반)","여관업","서울특별시 종로구 사직동 262번지 1호","서울특별시 종로구 인왕산로 19, (사직동)","02-737-9311","3","20"
"72","올인모텔","숙박업(일반)","여관업","서울특별시 종로구 관수동 18번지 1호","서울특별시 종로구 수표로18길 5, (관수동)","02-2274-2651","15","19"
"73","미정","숙박업(일반)","여관업","서울특별시 종로구 낙원동 195번지 4호","서울특별시 종로구 돈화문로5길 36, (낙원동)","02-0000-0000","4","10"
"74","대구","숙박업(일반)","여관업","서울특별시 종로구 창신동 464번지 10호","서울특별시 종로구 종로48길 8-2, (창신동)","02-764-4647","10",""
"75","수모텔","숙박업(일반)","여관업","서울특별시 종로구 돈의동 134번지","서울특별시 종로구 수표로22길 50-4, (돈의동)","02-0446-0805","14","0"
"76","더 베이지","숙박업(일반)","여관업","서울특별시 종로구 창신동 143번지 15호","서울특별시 종로구 종로51나길 6, (창신동)","02-0763-5529","1","12"
"77","별장","숙박업(일반)","여관업","서울특별시 종로구 창신동 448번지 4호","서울특별시 종로구 종로46가길 10, (창신동)","02-764-2107","18",""
"78","필 하우스(FILL HOUSE)","숙박업(일반)","여관업","서울특별시 종로구 종로6가 118번지","서울특별시 종로구 종로43길 8, (종로6가)","02-742-6868","10",""
"79","순안","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 448번지 12호","서울특별시 종로구 종로46가길 20, (창신동)","02-231-8558","16",""
"80","호텔 통","숙박업(일반)","여인숙업","서울특별시 종로구 인사동 224번지","서울특별시 종로구 종로11길 17-13, (인사동)","02-730-6244","18",""
"81","인터넷모텔","숙박업(일반)","여인숙업","서울특별시 종로구 종로5가 231번지 24호","서울특별시 종로구 종로36가길 16, (종로5가)","02-2275-1896","","20"
"82","세림여관","숙박업(일반)","여관업","서울특별시 종로구 관훈동 192번지 17호","서울특별시 종로구 인사동길 37-11, (관훈동)","02-739-3377","4","22"
"83","호텔큐비","숙박업(일반)","여관업","서울특별시 종로구 창신동 385번지","서울특별시 종로구 종로 322-10, (창신동)","02-742-1278","7","18"
"84","미라지모텔","숙박업(일반)","여관업","서울특별시 종로구 홍지동 94번지 42호","서울특별시 종로구 세검정로6길 4, (홍지동)","02-379-6533","5","11"
"85","대림장","숙박업(일반)","여관업","서울특별시 종로구 와룡동 54번지","서울특별시 종로구 율곡로8길 57, (와룡동)","02-765-1836","10",""
"86","모텔 와","숙박업(일반)","여관업","서울특별시 종로구 효제동 215번지 1호","서울특별시 종로구 종로35길 30-8, (효제동)","02-0762-8715","13","0"
"87","신영","숙박업(일반)","여관업","서울특별시 종로구 홍지동 92번지 4호","서울특별시 종로구 세검정로 238, (홍지동)","02-396-1447","11",""
"88","동해","숙박업(일반)","여인숙업","서울특별시 종로구 창신동 449번지 16호","서울특별시 종로구 종로46가길 17, (창신동)","02-0-0000","16",""
"89","초코렛여관","숙박업(일반)","여관업","서울특별시 종로구 돈의동 92번지","서울특별시 종로구 수표로22길 23, (돈의동)","02-763-6956","","13"
"90","자하문호텔","숙박업(일반)","여관업","서울특별시 종로구 구기동 119번지","서울특별시 종로구 진흥로 425, (구기동)","02-395-7770","5","30"
