문화공간코드,장르분류코드,장르분류명,문화공간명,대표이미지,주소,전화번호,팩스번호,홈페이지,관람시간,관람료(원),휴관일,개관일자,객석수,X좌표,Y좌표,기타사항,무료구분
100244,3,박물관/기념관,서울올림픽기념관,http://culture.seoul.go.kr/data/cf/title_100244.jpg,서울  송파구 방이동 88 ),02-410-1051~5,,http://www.88olympic.or.kr/,10:00~17:30,"일반 (18세 이상) 3,000원초등학생 1,500원군인, 중고생 2,000 원장애인 수첩 및 경로증 소지자 : 무료단체 (20인 이상)  할인",매주 월요일,,,37.5202976,127.1159236,,1
100293,3,박물관/기념관,전쟁기념관,http://culture.seoul.go.kr/data/cf/title_100293.jpg,서울  용산구 용산동1가 8 ),02-709-3032,,www.warmemo.co.kr,09:30~18:00,일반 3000원초중고생 2000원유치원생 1000원,월요일,,,37.5368975,126.9768849,,1
100216,3,박물관/기념관,한국분재박물관,http://culture.seoul.go.kr/data/cf/20160325073350.jpg,서울  서초구,02-577-0001,,www.bonsaitv.com,※ 하절기 (3월~10월) : 09:00~19:00  일요일(12:00~19:00)※ 동절기 (11월~2월) : 09:00~17:00  일요일(12:00~17:00),무료,없음,,,37.4534995,127.0756066,,0
100366,1,공연장,서울 아트 시네마,http://culture.seoul.go.kr/data/cf/20111214100057.jpg,서울  종로구 낙원동  삼일대로 428,02-741-9782,,http://www.cinematheque.seoul.kr/,,,,,,37.5698574,126.9918633,,1
100884,11,기타,디지털파빌리온,http://culture.seoul.go.kr/data/cf/20141015172312.jpg,서울  마포구 월드컵북로 396,02-2132-0500~2,02-2132-0509,www.digitalpavilion.kr,오전 9시30분~ 오후 6시,무료,"공휴일, 매주일요일",2008년 04월 30일,,37.5797267,126.8909381,"입장마감시간은 오후 5시입니다 내부순환로 : 중동사거리에서 우회전 후 중암교에서 직진 상암교 지난 후 : 난지천공원 방향으로 직진 후 상암아파트 단지에서 우회전  버스 171, 271, 470, 710, 6715, 7013, 7019, 7711, 7715, 7730, 9711번 누리꿈 스퀘어 빌딩 앞 하차",0
100885,4,미술관,국립현대미술관 서울관,http://culture.seoul.go.kr/data/cf/20150302083706.JPG,서울  종로구 삼청로 30,02-3701-9500,02-3701-9529,http://www.mmca.go.kr,"화, 목, 금, 일 10:00 ~ 18:00, 수, 토 10:00 ~ 21:00(야간개장 오후 6~9시 무료관람)","통합입장권 4,000원",1월 1일,2013년 11월 13일,,37.579482,126.980363,,1
100240,7,문화원,올림픽스포츠센터,http://culture.seoul.go.kr/data/cf/title_100240.jpg,서울  송파구 방이동 89-12 ),02-401-7581,,,,,,,,37.515359,127.133389,,1
100372,1,공연장,동숭아트센터,http://culture.seoul.go.kr/data/cf/title_100372.jpg,서울  종로구 동숭동 1-5 ),02-766-3390,,www.dsartcenter.co.kr,10:00 ~ 22:30,공연장별로 나뉘어짐,,,,37.5837289,127.0036762,"■ 기    타 : 부대시설 : 동숭홀, 소극장, 동숭씨네마텍, 하이퍼텍나다, 라이브러리(외부열람중단)",1
100017,1,공연장,라트어린이극장,http://culture.seoul.go.kr/data/cf/title_100017.jpg,서울  강남구 도곡동 514-1 ),02-560-0979,,www.lattct.com,,,,,,37.4842358,127.0422031,■ 기   타 : 좌석 규모 - 200석  공연시작 30분전 입장,1
100214,6,문화예술회관,서울교육문화회관,http://culture.seoul.go.kr/data/cf/title_100214.jpg,서울  서초구,02-571-8100,,http://www.temfhall.co.kr/,공연일정에 따라 다름,공연에 따라 다름,연중무휴,,,37.4660597,127.0335948,"■ 기    타 :  ※ 무료셔틀버스 이용안내  서초구민회관 앞에서 오전 6시부터 오후 11시까지 매시정각, 20분, 40분에 출발",1
100429,1,공연장,세종문화회관,http://culture.seoul.go.kr/data/cf/title_100429.jpg,서울  종로구 세종로 81-3 ),02-399-1114~6,,www.sejongpac.or.kr,공연에 따라 다름,공연에 따라 다름,연중무휴,,,37.5726241,126.9760053,,1
100677,1,공연장,서울예술치유허브,http://culture.seoul.go.kr/data/cf/20111020150402.jpg,서울  성북구 종암동 28-358,02-943-9300,,http://www.seoulartspace.or.kr/G06_seongbuk/main.asp,,,,,,37.59238153,127.0370033,,
100069,1,공연장,강동어린이회관아이누리홀,http://culture.seoul.go.kr/data/cf/title_100069.gif,서울  강동구 성내동 556-1 ),02-486-3516~8,02-484-9255,http://www.gdkids.or.kr/04i-nury/info.html,,"어린이 뮤지컬 이용요금 - 단체: 4,000원 | 개인: 7,000원",,,,37.529163,127.122469,,1
100110,1,공연장,건국대학교 새천년대공연장,http://culture.seoul.go.kr/data/cf/title_100110.gif,서울  광진구 화양동 1 ),"02-455-1896,1897",02-455-4922,http://www.konkuk.ac.kr,,,,,,37.543118,127.0773358,,1
100268,8,도서관,양천도서관,http://culture.seoul.go.kr/data/cf/20111020162302.jpg,서울  양천구 목동 905 서로 113 (목동),02-2643-3802,,http://yclib.sen.go.kr/,,,,,,37.5336544,126.8759573,,1
100097,7,문화원,몽골문화원,http://culture.seoul.go.kr/data/cf/title_100097.jpg,서울  광진구 광장동 388-8 ),02-446-4199,,http://www.mongolcenter.org/,,,,,,37.5470862,127.1011097,"■ 프로그램 1. 몽골어학당 2. 몽골음악감상 및 영화상영 3. 한국나담축제 4. 몽골도서 및 신문 5. 몽골그림과 사진 6. 몽골문화한마당",1
100421,4,미술관,갤러리 현대,http://culture.seoul.go.kr/data/cf/title_100421.jpg,서울  종로구 사간동 122 ),02-734-6111~3,,http://www.galleryhyundai.com/,"화요일~토요일 : 10:00 ~ 18:00일요일,공휴일 : 10:00 ~ 17:00",무료(특별전시는 유료),매주 월요일,,,37.576675,126.979825,■ 기    타 : 광화문에서 삼청동 방면 마을버스 이용,0
100674,7,문화원,신당창작아케이드,http://culture.seoul.go.kr/data/cf/title_100674.jpg,서울  중구 119,02-2232-8833,,http://www.seoulartspace.or.kr/G03_sindang/main.asp,,,"전시실 (10:00~18:00), 아트마켓 (12:00~18:00), 일,월 휴관",,,37.5673552,127.0195172,,1
100529,1,공연장,충정로난타극장,http://culture.seoul.go.kr/data/cf/title_100529.jpg,서울  서대문구 충정로3가 476,02-739-8288,,http://nanta.i-pmc.co.kr/,"월~일요일 및 공휴일 5시, 8시",,,,"540석 (PREMIUM 10석, VIP 139석,",37.5602665,126.9622394,,1
100052,1,공연장,유시어터,http://culture.seoul.go.kr/data/cf/title_100052.jpg,서울  강남구,02-3444-0651,,www.utheater.co.kr,,,,,,37.5222551,127.0411515,"■ 극장 규모 - 객석 및 무대 면적 : 1층 215.6 ㎡(65.2평)/2층 82.9 ㎡(25.1평)/총 298.5 ㎡(90.3평) - 객석 및 무대 크기 : 가로 9.35m / 세로 19.25m / 높이 8m - 객석 : 유동식 객석 약 250석",1
100195,1,공연장,국립국악원,http://culture.seoul.go.kr/data/cf/title_100195.jpg,서울  서초구 서초동  남부순환로 2364,02-580-3333,02-580-3025,http://www.gugak.go.kr,,,,,,37.4778469,127.0088804,,1
100460,3,박물관/기념관,국립서울과학관,http://culture.seoul.go.kr/data/cf/title_100460.jpg,서울  종로구 와룡동 110-360 ),02-3675-5114,,www.ssm.go.kr,09:30~17:50,일반 1000원학생 500원,월요일 및 공휴일,,,37.5820426,126.9971614,,1
100360,3,박물관/기념관,보나장신구 박물관,http://culture.seoul.go.kr/data/cf/title_100360.jpg,서울  종로구 관훈동 192-10 ),02-732-6621,,www.bonamuseum.com,"화,토 10:30~18:30일 12:00~ 18:00",일반 5000원청소년 4000원,매주 월요일,,,37.5735826,126.9845298,,1
100412,3,박물관/기념관,생명과학박물관,http://culture.seoul.go.kr/data/cf/title_100412.jpg,서울  양천구 목동 405-207,02-2648-6114,,www.biom.or.kr,"10:00, 13::00, 15:00(방학기간 17:00 추가개장)","어른,학생 : 5,000, 유아:3,000(20인 이상 단체 1인단 1,000원 할인)","매주 월요일, 추석, 설날",,,37.523905,126.8719642,,1
100308,3,박물관/기념관,숙명여자대학교 정영양자수박물관,http://culture.seoul.go.kr/data/cf/title_100308.jpg,서울  용산구 효창동 52,02-710-9133,,http://museum.sookmyung.ac.kr/,월~토 10:00~17:00,무료,"일요일, 신정",,,37.5449219,126.9641116,,0
100148,8,도서관,동대문도서관,http://culture.seoul.go.kr/data/cf/20111021104240.jpg,서울  동대문구 신설동 109-4 ),02-2254-1844~7,,http://ddmlib.sen.go.kr/,,,"매월 두번째,네번째 수요일 | 일요일을 제외한 법정공휴일",,,37.5735535,127.0247796,,0
100867,3,박물관/기념관,서울역사박물관,http://culture.seoul.go.kr/data/cf/20111103130243.jpg,서울  종로구 새문안로 55,02-724-0274~6,02-724-0244,www.museum.seoul.kr,"평일 : 09:00~21:00, 토,일, 공휴일 : 09:00~19:00(동절기 18:00)",무료(일부기획전과 대관전은 유료),"매주 월요일, 1월 1일, 단, 월요일이 공휴일인 경우 휴관하지 않음",2002.5.21,,37.5701434,126.9704375,,0
100691,11,기타,서울창작공간,http://culture.seoul.go.kr/data/cf/20111021102210.jpg,서울  동대문구 용두동 255-67 ),02-3290-7070,,http://www.seoulartspace.or.kr,10:00 ~ 17:00,,,,,37.571509,127.0337136,,0
100699,1,공연장,청계천박물관,http://culture.seoul.go.kr/data/cf/20111214143725.jpg,서울  성동구 마장동   청계천로 530,"02-2286-3410,3433",02-2286-3414,http://www.cgcm.go.kr,,,,,,37.5712271,127.0349283,,0
100796,7,문화원,구립마포청소년문화의집,http://culture.seoul.go.kr/data/cf/20111021102722.JPG,서울  마포구 상암동 1688 ),02-303-1380~1,02-303-5800,http://www.mycc.or.kr,,,,2010.03.01,,37.5804167,126.884,,0
100802,8,도서관,강서구립도서관,http://culture.seoul.go.kr/data/cf/20111021113102.jpg,서울  강서구,,,http://lib.gangseo.seoul.kr/,,,,,,37.5478818,126.8599269,,0
100714,1,공연장,문화일보홀,http://culture.seoul.go.kr/data/cf/20111101134836.jpg,서울  중구 충정로1가 68 ),02-3701-5754,02-739-2293,http://hall.munhwa.com/,공연에 따라 다름,,없음,1995.01.01,302,37.5671515,126.9685599,,1
100782,11,기타,노원구청,http://culture.seoul.go.kr/data/cf/20111021173342.JPG,서울  노원구 상계동 701-1 ),02-2116-3114,02-2116-4614,http://www.nowon.kr,월요일~금요일 09:00~18:00,,,,,37.654358,127.056473,,0
100323,4,미술관,동산방화랑,http://culture.seoul.go.kr/data/cf/title_100323.jpg,서울  종로구 견지동 93 ),02-733-5877,,,10:00~18:00,무료,전시시 무휴,,,37.572942,126.98335,,0
100455,3,박물관/기념관,서울대학교 치과대학 치의학 박물관,http://culture.seoul.go.kr/data/cf/title_100455.gif,서울  종로구 연건동 110-749 ),02-740-8799,,www.dentmuseum.or.kr,월~금 10:00~12:00,무료,"개교기념일 (10/15)토,일 공휴일",,,37.5768763,126.9997812,,0
100057,4,미술관,갤러리 원 (원화랑),http://culture.seoul.go.kr/data/cf/title_100057.jpg,서울  강남구 청담동 101-5 ),02-514-3439,,http://www.wongallery.co.kr/,월~금 10:00~18:00토요일 10:00~17:30,,"일요일, 공휴일(전시중 무휴)",,,37.527525,127.045863,,1
100189,8,도서관,국립중앙도서관,http://culture.seoul.go.kr/data/cf/title_100189.jpg,서울  서초구 반포동 60-1 ),02-535-4142,,http://www.nl.go.kr/,,,"매월 둘째, 넷째 월요일일요일을 제외한 공휴일기타 관장이 필요하다고인정하는 날",,,37.4974617,127.0030085,,0
100010,1,공연장,브로드웨이,http://culture.seoul.go.kr/data/cf/20140520214102.JPG,서울  강남구 도산대로-8길,02-1544-8855,,http://www.lottecinema.co.kr/LHS/LHFS/Contents/CinemaInfo/Cinema.aspx?CinemaGroupCode=0001&CinemaCode=9056&ScreenType=100,홈페이지참조,,,,,37.5166444,127.021734,,1
100081,6,문화예술회관,강서구민회관,http://culture.seoul.go.kr/data/cf/20111021113532.gif,서울  강서구 내발산동 19-1  ),"02-3664-6046, 8924",,http://www.gssi.or.kr/gpmc/main/contents.do?menuNo=200103,,,,,,37.5533732,126.8436044,,1
100727,1,공연장,정동극장,http://culture.seoul.go.kr/data/cf/20111101140149.jpg,서울  중구 정동 8-11 길 43 (정동),02-751-1500,02-751-1588,http://www.chongdong.com/,"상설공연 오후4시, 8시",,,1995.06.17,344,37.5658626,126.9728014,,1
100785,7,문화원,노원문화원,http://culture.seoul.go.kr/data/cf/20111021175244.JPG,서울  노원구 공릉동 ),"02-938-1244, 1245",02-938-1247,http://www.nwcc.or.kr,,,,,,37.6288304,127.0697936,,0
100734,1,공연장,종로구민회관,http://culture.seoul.go.kr/data/cf/20111020161835.jpg,서울  종로구 창신동 222-8 ),02-3672-2530~1,3673-4074,http://www.ijongno.co.kr,,,,,,37.5734077,127.0143152,,0
100738,11,기타,중구청,,서울  중구 예관동 120-1 ),02-3396-4114,,http://www.junggu.seoul.kr,오전9시~오후6시,,,,,37.563843,126.997602,,0
100695,1,공연장,서울연극센터,http://culture.seoul.go.kr/data/cf/20111021101219.jpg,서울  종로구 명륜4가 ),02-743-9333,,http://www.e-stc.or.kr,"화~토요일 10:00~20:00 | 일,공유일 10:00~19:00",,월요일,,,37.5833444,127.0013025,,1
100872,11,기타,동대문구청 아트갤러리,http://culture.seoul.go.kr/data/cf/20111031110540.jpg,서울  동대문구 용두동 39-9 ),02-2127-4310,02-3299-2614,www.ddm.go.kr,평일:9시~18시,,"매주 토요일, 일요일, 공휴일",2009.10.28,,37.574524,127.03965,,0
100735,11,기타,종로문화체육센터,,서울  종로구 사직동 284-1 ),02-732-9392~3,02-732-9395,http://www.ijongno.co.kr/html/sub/info_sisul/che/che_look.asp,,,,,,37.5743556,126.9646523,,0
100744,7,문화원,용산문화원,http://culture.seoul.go.kr/data/cf/20111101114627.jpg,서울  용산구 원효로4가 87-4 ),02-703-0052~3,02-703-0366,http://yongsan.kccf.or.kr,공연에 따라 다름,,"매주 토,일요일",1997.12.09,공연장 1개 총 300석 규모,37.5334662,126.952202,,1
100378,1,공연장,학전GREEN소극장,http://culture.seoul.go.kr/data/cf/title_100378.jpg,서울  종로구 동숭동 1-8 ),02-763-8233,,www.hakchon.co.kr,,,월요일,,,37.5839245,127.0030173,■ 기    타 : 규모 : 180석,1
100538,1,공연장,명보극장,http://culture.seoul.go.kr/data/cf/title_100538.jpg,서울  중구 초동 18-5 ),02-2274-2121,,http://www.myungbo.com/,평일 11:00 ~ 18:30 토·일요일 10:00 ~ 18:30,,,,,37.5646356,126.99322,"■ 기    타 : ※ 1관(화면크기) 중형 494석 ※ 2관(화면크기) 중형 379석 ※ 3관(화면크기) 중형 432석 ※ 4관(화면크기) 중형 432석 ※ 5관(화면크기) 중형 304석 ※ 주차 불가능",1
100442,1,공연장,문호아트홀,http://culture.seoul.go.kr/data/cf/20111214093324.jpg,"서울  종로구 신문로1가  새문안로 75, 금호아시아나 빌딩 3층",02-6303-1977,,http://www.kumhoarthall.com/Home/Intro/MunhoIntro.aspx,,,,2006.03,210석,37.5706508,126.9729916,,1
100270,7,문화원,목동운동장,http://culture.seoul.go.kr/data/cf/title_100270.jpg,서울  양천구 목동 914  ),02-2640-3812,,http://stadium.seoul.go.kr/reserve/reserve_02_00.html,,"프로축구 일반 5,000원학생·군경 3,000원",연중무휴,,,37.530093,126.8818961,,1
100482,4,미술관,가나아트센터,http://culture.seoul.go.kr/data/cf/title_100482.jpg,서울  종로구 평창동  평창30길 28,02)720-1020,02)395-2780,http://www.ganaart.com/,"월 ~ 일, 10 am - 7pm",,전시회가 있을시 휴일없음,,,37.6121853,126.9750798,"■ 기    타 : - 부대시설 : 3개의 전시장과 아트샵, 레스토랑, 자료실, 강의실, 사무실, 조각정원, 야외공연장 등  - 미술관 순환버스",1
100103,1,공연장,유니버설아트센터,http://culture.seoul.go.kr/data/cf/title_100103.jpg,서울  광진구,070-7124-1740,,www.uac.co.kr,,,,,,37.5508142,127.0880112,,1
100544,3,박물관/기념관,한국금융사박물관,http://culture.seoul.go.kr/data/cf/title_100544.jpg,서울  중구 태평로1가 62-12 ),02-738-6806,,www.shinhanmuseum.co.kr,월~토 10:00~18:00,무료,일요일 및 공휴일,,,37.5686681,126.9764215,"■ 휴    일 : 일요일, 공휴일  ■ 관람 소요시간 : 1시간  ■ 유의사항      - 박물관 내에서는 사진촬영을 금합니다.     - 유물보존을 위해 일부 전시실은 조명을 조절하였습니다.     - 음식물 취식과 흡연을 금합니다.",0
100410,3,박물관/기념관,짚·풀 생활사박물관,http://culture.seoul.go.kr/data/cf/title_100410.jpg,서울  종로구 명륜2가 8-4 ),02-743-8787,,www.zipul.co.kr,화~일 10:00~17:30,"성인 3,000원유치원,초,중,고생 2,000원65세이상 2000원(20인이상 단체 1000원씩 할인)","월요일신청, 설날추석",,,37.5849163,126.9997938,,1
100136,11,기타,노원구민체육센터,http://culture.seoul.go.kr/data/cf/20111021164928.JPG,서울  노원구 중계동 507-3 ),02-949-8416~9,02-949-8460,http://gongdan.nowon.kr,,,,,,37.6481321,127.070725,,1
100074,1,공연장,대지극장,,서울  강북구 미아동 35-4 ),02-984-4331,,,,,,,,37.6121309,127.030715,"■ 주차장 규모 32대 규모 미아리는 강북구의 번화가다. 주차장 규모도 협소하므로 대중교통을 이용하는 것이 좋다.",1
100263,1,공연장,롯데월드 시네마,http://culture.seoul.go.kr/data/cf/title_100263.jpg,서울  송파구 잠실동 40-1 ),02-416-7227,,http://www.lottecinema.co.kr/LHS/LHFS/Global/Main/Index.aspx,,,,,,37.5112448,127.0979614,■ 주차 : 롯데월드 어드벤쳐 주차장 이용 (주차장할인 2시간 2000원 극장내에서 주차권구입),1
100253,1,공연장,롯데월드 야외공연장,http://culture.seoul.go.kr/data/cf/title_100253.jpg,서울  송파구 잠실동 47 ),02-411-2000,02-411-4454,http://www.lotteworld.com,,,,,,37.5112448,127.0979614,"(자가용)  - 경부고속도로 이용시 : 서울 - 구리,판교IC - 송파IC - 가락시장 - 잠실4거리 - 롯데월드  - 중부고속도로 이용시 :  ① 동서울 - 강일(하일)IC - 88올림픽도로 - 잠실대교 성남방향 - 잠실4거리 - 롯데월드  ② 서울 - 구리,판교IC - 서하남IC - 올림픽공원-잠실4거리 - 롯데월드",1
100418,1,공연장,부암아트홀,http://culture.seoul.go.kr/data/cf/title_100418.gif,서울  종로구 부암동 208-71 ),02-391-9637,02-396-9534,http://www.buamart.co.kr/,,,,,,37.5958212,126.9641028,,1
100531,1,공연장,세실극장,http://culture.seoul.go.kr/data/cf/title_100531.gif,서울  중구 정동 3-7,02-742-7601,,http://www.ceciltheater.com/,,,,,,37.5667574,126.9757243,,1
100434,4,미술관,국제갤러리,http://culture.seoul.go.kr/data/cf/title_100434.jpg,서울  종로구 소격동 59-1 ),02-735-8449,,http://www.kukje.org/,10:00 ~ 18:00 (화~토) 10:00 ~ 17:00 (일),무료,매주 월요일,,,37.5807006,126.9804771,,0
100452,1,공연장,글로브극장,http://culture.seoul.go.kr/data/cf/20111208112703.jpg,"서울  종로구 연건동  대학로 60, 동마루빌딩 4층",02-764-4600,02-764-4614,http://www.globe.or.kr/,,,,,,37.5765,127.0025375,,1
100382,1,공연장,단막극장,http://culture.seoul.go.kr/data/cf/title_100382.gif,서울  종로구 동숭동 12-6 ),02-765-1544,,,"평일:09:30-23:00, 토요일:09:30-23:00, 일요일:09:30-23:00",,,,,37.5832418,127.004427,,1
100454,1,공연장,대학로극장,http://culture.seoul.go.kr/data/cf/title_100454.gif,서울  종로구 연건동 178-1 ),02-764-6052,02-766-0773,,,,,,,37.5765,127.0025375,,1
100252,1,공연장,롯데월드 마술극장,http://culture.seoul.go.kr/data/cf/title_100252.jpg,서울  송파구 잠실동 40-1 ),02-411-2000,02-411-4454,http://www.lotteworld.com,,,,,,37.5112448,127.0979614,"(자가용)  - 경부고속도로 이용시 : 서울 - 구리,판교IC - 송파IC - 가락시장 - 잠실4거리 - 롯데월드  - 중부고속도로 이용시 :  ① 동서울 - 강일(하일)IC - 88올림픽도로 - 잠실대교 성남방향 - 잠실4거리 - 롯데월드  ② 서울 - 구리,판교IC - 서하남IC - 올림픽공원-잠실4거리 - 롯데월드",1
100350,4,미술관,동서화랑,http://culture.seoul.go.kr/data/cf/title_100350.jpg,서울  종로구 관훈동 196-3 ),02-733-9585,,,10:00 ~ 19:00,무료,연중무휴,,,37.574325,126.9846,,0
100433,3,박물관/기념관,신문박물관,http://culture.seoul.go.kr/data/cf/title_100433.jpg,서울  종로구 세종로 139,02-2020-1830,,www.presseum.or.kr,화~일 10:00~18:00,일반 3000원초중고 2000원,"월요일,1월 1일설날 연휴",,,37.5698125,126.9776744,,1
100406,1,공연장,선돌극장,,서울  종로구 명륜1가 46-11     ),02-747-3226,,,,,,,,37.586857,126.999713,,1
100046,7,문화원,국기원,http://culture.seoul.go.kr/data/cf/title_100046.jpg,서울  강남구 역삼동 635 ),02-567-1058,02-552-3025,http://www.kukkiwon.or.kr,,,"일요일, 공휴일",,,37.5019899,127.03031,"■ 기    타 : 세계태권도연맹 : 02-557-5446<br> [주요대회] 전국종별선수권대회 : 매년 3월 대한태권도협회장기대회 : 매년 5월 대통령기전국단체대항대회 : 매년6월 전국체육대회 : 매년 10월 태권도한마당 : 매년 11월",1
100468,4,미술관,갤러리 라메르,http://culture.seoul.go.kr/data/cf/title_100468.jpg,"서울  종로구 인사동 194 5길 26, 홍익빌딩 (관훈동)",02-730-5454,,http://www.gallerylamer.com/,10:00~18:30,,연중무휴,,,37.5725264,126.9849468,,1
100085,1,공연장,뉴시네마,,서울  강서구 화곡동 1111-2,02-2608-7755,,,,,,,,37.5416433,126.840946,"■ 유(15~20대 가능) 가능 주차대수가 그리 많지 않으므로 주말이나 사람이 몰리는 공휴일에는 대중교통을 이용할 것을 권한다. 극장 뒷편으로 유흥가가 조성되어 있으므로 불법주차 역시 마땅치 않으며 단속이 심하므로 차를 끌고 오지 않는 것이 좋다.",1
100798,11,기타,양천구민체육센터,http://culture.seoul.go.kr/data/cf/20111020161041.jpg,서울  양천구 신정동 322-10 ),02)2652-1792~5,02)2654-3483,http://www.ycs.or.kr/page/facility/sport/yangcheon.php,,,,,,37.5165626,126.8644841,,1
100772,11,기타,강북구청,http://culture.seoul.go.kr/data/cf/20111020200854.jpg,서울  강북구 수유동 192-59 ),02-901-6114,,http://gangbuk.seoul.kr/,,,,,,37.639748,127.025482,,0
100788,11,기타,은평구청,,서울  은평구 녹번동 ),02-351-6114,,http://www.eunpyeong.seoul.kr,09:00~18;00,,,,,37.602784,126.929164,,0
100832,8,도서관,관악문화관도서관,http://culture.seoul.go.kr/data/cf/20111020143923.JPG,서울  관악구 신림동 209-1 ),02-887-6890,02-887-6893,http://www.gwanakcullib.seoul.kr/ecolas-dl/new_kwan/library/index.php,,,,,,37.4677179,126.9445375,,0
100826,11,기타,서울여성프라자스포츠센터,http://culture.seoul.go.kr/data/cf/20101118171540.jpg,,(02)822 - 2426 ~ 7,(02)822 - 2428,http://www.idongjak.or.kr,평   일(월~금) : 06:00~22:00  토요일 : 06:00~21:00 / 일요일(4주) : 10:00~19:00,,공휴일 및 5주째 일요일,,,37.5115536,126.927066,,0
100754,11,기타,동대문구민체육센터,http://culture.seoul.go.kr/data/cf/20111031111540.jpg,서울  동대문구 장안동 ),02-2247-9772~5,02-2247-9776,http://www.dfmc.kr,평일 : 06:00~21:50 / 휴토요일 : 06:00~17:50,,매주 일요일 휴관(대관시에만 부분 개방),1992년 2월,공연장 없으며 유사시설로 대체육관이 있으나 좌석 미설치,37.5665701,127.0734247,"매주 일요일은 휴관(대관시에만 부분개방)하고 있으나 지역주민의 요청으로 매월 1,3째주 일요일에 한하여 한시적으로 일일 자유수영을 개방운영중에 있다.",1
100841,6,문화예술회관,송파구체육문화회관,http://culture.seoul.go.kr/data/cf/20101118163923.jpg,서울  송파구 거여동 289 ),02-402-3291~2,02-402-9623,http://www.esongpa.or.kr,,,,,,37.4906482,127.1427868,,1
100762,7,문화원,중랑문화원,,서울  중랑구 면목동 378-5 ),02-492-0066~7,02-2207-5761,http://www.ejnc.kr/,,,,,,37.5741141,127.0851669,,0
100743,11,기타,용산문화체육센터,http://culture.seoul.go.kr/data/cf/20111101131430.jpg,서울  용산구 문배동 19-2 ),02-707-2492~4,02-707-2495,http://www.yongsangu-sc.or.kr,,,"1, 3, 5주 일요일, 공휴일, 국경일, 정기휴관일",2005.10.10,,37.5373623,126.9676924,"본센터는 용산구 백범로 350에 위치한 지하2층, 지상5층 규모의 문화체육센터로 수영장, 헬스장 및 배드민턴 등 체육프로그램을 비롯하여 다양한 문화강좌 교육프로그램을 효율적으로 운영하여 구민의 건강과 복리증진에 기여하고 있습니다.",1
100746,7,문화원,성동문화원,,서울  성동구 행당동 142-16 ),02-2286-6234~5,02-2286-6236,http://www.ssdc.or.kr,,,,1997.10.21,,37.5593145,127.0360081,,1
100751,8,도서관,자양4동도서관,http://culture.seoul.go.kr/data/cf/20111020160114.gif,서울  광진구 자양동 ),02-465-0737~8,02-465-0739,http://www.gwangjinlib.seoul.kr/,,,,,,37.5340938,127.066226,,0
100752,11,기타,동대문구청,http://culture.seoul.go.kr/data/cf/20111020154318.jpg,서울  동대문구 용두동 39-9 ),02-2127-5000,02-2127-5096,http://www.ddm.go.kr/,평일 : 09:00~18:00,,"토,일요일",,,37.574524,127.03965,,0
100692,11,기타,서울문화재단,http://culture.seoul.go.kr/data/cf/20111020181952.jpg,서울  동대문구 용두동 255-67 ),02-3290-7000,,http://www.sfac.or.kr/,,,,,,37.571509,127.0337136,,0
100697,3,박물관/기념관,국립중앙박물관,http://culture.seoul.go.kr/data/cf/20111208093728.jpg,서울  용산구 용산동6가    서빙고로 137,02-2077-9000,,http://www.museum.go.kr,,,,,,37.5240867,126.9803881,,0
100704,1,공연장,LG아트센터,http://culture.seoul.go.kr/data/cf/20111202141151.jpg,서울  강남구 역삼동  논현로 508,02-2005-0114,02-2005-1538,http://www.lgart.com,평일 : 오전9시 ~ 오후6시,,"토,일 공휴일",,,37.5021909,127.0377378,주차는 GS타워 지하주차장을 이용하시면됩니다,0
100736,11,기타,올림픽기념국민생활관,http://culture.seoul.go.kr/data/cf/20111214133032.gif,서울  종로구 혜화동  성균관로 91,02-745-6701,02-745-6706,http://www.ijongno.co.kr/html/sub/info_sisul/olympic/olympic_look.asp,,유료,,,,37.5904911,126.9988244,,1
100741,7,문화원,중구문화원,,서울  중구 장교동 1 ),02-775-3001,02-775-3068,http://www.junggucc.or.kr,월요일~일요일(오전10시 ~ 오후6시),,,,,37.5675796,126.986502,,0
100174,1,공연장,창무예술원- 드 포스트,http://culture.seoul.go.kr/data/cf/title_100174.jpg,서울  마포구 창전동 5-9 ),02-337-5961,,,,,,,,37.5542772,126.9305347,,1
100547,1,공연장,한국의 집 민속극장,http://culture.seoul.go.kr/data/cf/title_100547.jpg,서울  중구 필동2가 80-2 ),02-2266-9101~3,,www.koreahouse.or.kr,월~ 토 1부:19:00~20:00              2부 20:50~21:50일 1부 20:00~21:00,,,,,37.5603974,126.9946116,,1
100819,7,문화원,영등포문화원,http://culture.seoul.go.kr/data/cf/20111020170239.jpg,서울  영등포구,02-846-0155~6,02-846-0157,http://www.ydpcc.co.kr/,,,,,,37.5152408,126.9108259,,1
100828,8,도서관,동작구 통합도서관,http://culture.seoul.go.kr/data/cf/20111021104719.jpg,서울  동작구 대방동 49-6 ),02-820-9314,,http://lib.dongjak.go.kr/,,,,,,37.5127667,126.93395,,0
100795,11,기타,마포구시설관리공단(아트센터),http://culture.seoul.go.kr/data/cf/20111020172307.jpg,서울  마포구 대흥동   대흥로20길 28,02-300-5000,,http://www.mfmc.or.kr,,,,,,37.5499041,126.9455277,,0
100808,6,문화예술회관,구로아트밸리예술극장,http://culture.seoul.go.kr/data/cf/20110120134929.jpg,서울  구로구 구로동 101 ),02-2029-1700~1,,http://www.guroartsvalley.or.kr,,,"토,일,공휴일",,,37.4966724,126.888881,,0
