교육청,소재구,학교명,홈페이지 주소,설립,남녀,우편번호,주소,전화번호, 1학년 학급수, 2학년 학급수, 3학년 학급수, 특수학급 수, 1학년 학생수 계, 1학년 여 학생수, 2학년 학생수 계, 2학년 여 학생수, 3학년 학생수 계, 3학년 여 학생수, 학급당 평균학생수, 정규 교원수 계, 정규 여 교원수, 기간제 교원수 계, 기간제 여 교원수, 직원수 계, 여 직원수," 보통
교실수",
서부,마포구,아현중학교,http://ahyeon.ms.kr, 공립, 공학, 121-859,서울특별시 마포구 마포대로 247, 02-363-1813,6,5,5,2,166,92,160,93,155,96,26.7,32,26,8,7,4,2,18,
서부,서대문구,연북중학교,http://www.yeonbuk.ms.kr, 공립, 공학, 120-826,서울특별시 서대문구 연희로36길 32, 02-332-7378,6,6,7,2,181,64,196,88,224,95,28.6,36,27,3,3,6,4,25,
서부,은평구,연서중학교,http://www.yeonseo.ms.kr, 공립, 공학, 122-939,서울특별시 은평구 증산서길 125-6, 02-6715-8104,6,8,8,1,196,120,269,144,264,142,31.7,39,29,5,3,4, - ,29,
서부,은평구,연신중학교,http://www.yonsin.ms.kr, 공립, 공학, 122-866,서울특별시 은평구 연서로33길 16-32, 02-383-7831,7,8,8,1,212,96,235,92,259,106,29.4,43,26,2,2,6,2,28,
서부,은평구,연천중학교,http://yonchon.ms.kr, 공립, 공학, 122-868,서울특별시 은평구 연서로41길 30, 02-385-1789,6,7,6, - ,180,71,217,84,191,76,30.9,32,23,6,3,4,1,20,
서부,서대문구,연희중학교,http://yonhi.ms.kr, 공립, 공학, 120-807,서울특별시 서대문구 증가로 170, 02-372-2992,10,10,9, - ,282,144,318,146,260,119,29.7,45,32,13,11,4,1,31,
서부,은평구,은평중학교,http://www.eunpyeong.ms.kr, 공립, 공학, 122-822,서울특별시 은평구 갈현로17나길 12-1, 02-382-3541,8,9,8,2,257,111,296,145,275,108,30.7,43,36,7,7,4,2,29,
서부,서대문구,인왕중학교,http://www.inwang.ms.kr, 공립, 공학, 120-852,서울특별시 서대문구 세검정로4길 69, 02-396-5406,7,8,8,2,205,82,259,103,238,97,28.1,42,35,5,3,4,1,28,
서부,마포구,중암중학교,http://www.joongam.ms.kr, 공립, 공학, 121-877,서울특별시 마포구 월드컵북로38길 25, 02-309-5778,10,12,11,1,321,153,407,186,357,194,31.9,57,46,4,2,4,1,38,
서부,은평구,증산중학교,http://www.jeungsan.ms.kr, 공립, 공학, 122-936,서울특별시 은평구 증산로5길 27-30, 02-303-9294,6,7,6,1,190,84,204,92,201,108,29.8,34,27,8,7,3,1,20,
서부,은평구,진관중학교,http://www.jingwan.ms.kr, 공립, 공학, 122-200,"서울특별시 은평구 진관4로 36 , 진관중학교", 02-383-5378,10,11,10,1,340,156,376,179,331,149,32.7,52,34,4,3,4,2,33,
서부,마포구,창천중학교,http://www.changchun.ms.kr, 공립, 공학, 121-806,"서울특별시 마포구 백범로1길 , 56번지", 02-701-9595,5,5,6,2,138,88,151,83,173,111,25.7,31,26,6,5,3,2,33,
서부,서대문구,홍은중학교,http://www.hongeun.ms.kr, 공립, 공학, 120-844,서울특별시 서대문구 연희로41길 94, 02-3216-0511,6,6,6,1,192,47,184,47,189,46,29.7,31,19,5,3,3,1,18,
서부,마포구,경성중학교,http://www.gyeongseong.ms.kr, 사립, 남자, 121-866,서울특별시 마포구 성미산로 111, 02-3140-1245,6,6,6, - ,170, - ,194, - ,185, - ,30.5,27,19,8,7,4,3,19,
서부,마포구,광성중학교,http://www.kwangsung.ms.kr, 사립, 남자, 121-854,서울특별시 마포구 신수로8길 20, 02-3270-1365,5,5,5, - ,152, - ,157, - ,172, - ,32.1,25,8,5,4,4,2,3,
서부,은평구,대성중학교,http://www.dsms.ms.kr, 사립, 남자, 122-802,"서울특별시 은평구 갈현로29길 51-24 , 대성중학교", 02-6252-1100,10,10,10, - ,293, - ,340, - ,337, - ,32.3,45,32,14,8,6,1,30,
서부,마포구,동도중학교,http://www.dong-do.ms.kr, 사립, 공학, 121-873,서울특별시 마포구 백범로 139, 02-716-5783,8,8,8, - ,223,127,263,141,247,167,30.5,35,8,9,3,4,3,24,
서부,서대문구,동명여자중학교,http://www.dongmyunggirls.ms.kr, 사립, 여자, 120-040,서울특별시 서대문구 독립문로 49, 02-363-5043,5,6,5, - ,137,137,177,177,139,139,28.3,27,14,2,2,4,3,16,
서부,서대문구,명지중학교,http://www.myongji.ms.kr, 사립, 공학, 120-848,"서울 서대문구 명지2길 56 , 명지중학교", 02-303-2835,10,10,10, - ,252,114,334,164,328,153,30.5,46,23,11,9,6,3,30,
서부,은평구,선일여자중학교,http://www.sunil.ms.kr, 사립, 여자, 122-802,서울특별시 은평구 갈현로29길 27, 02-355-0161,10,10,10, - ,243,243,291,291,348,348,29.4,49,36,8,7,5,3,30,
서부,은평구,선정중학교,sunjung-m.sen.go.kr, 사립, 공학, 122-801,"서울특별시 은평구 서오릉로20길 19 , 227-5", 02-3156-1400,10,10,10, - ,291,126,330,171,351,116,32.4,47,30,9,7,5,3,30,
서부,마포구,숭문중학교,http://www.soongmoon.ms.kr, 사립, 남자, 121-809,"서울특별시 마포구 숭문길 99 , 숭문중고등학교", 02-715-4461,6,6,7, - ,178, - ,192, - ,191, - ,29.5,30,7,3,1,4,1,20,
서부,은평구,숭실중학교,http://www.soongsilm.net, 사립, 남자, 122-890,서울특별시 은평구 은평터널로7길 6, 02-373-7641,6,6,6, - ,166, - ,198, - ,208, - ,31.8,30,7,3,1,4, - ,20,
서부,은평구,영락중학교,http://youngnak.ms.kr/, 사립, 공학, 122-915,서울특별시 은평구 백련산로 134-6, 02-388-4033,8,8,8, - ,245,122,275,128,273,115,33,39,23,8,8,4,2,24,
서부,은평구,예일여자중학교,http://yale.ms.kr, 사립, 여자, 122-819,서울특별시 은평구 연서로 117, 02-380-0905,8,10,10, - ,258,258,330,330,347,347,33.4,47,36,7,7,5,2,28,
서부,서대문구,이화여자대학교사범대학부속이화?금란중학교,http://www.ewha.ms.kr, 사립, 공학, 120-160,서울특별시 서대문구 성산로 520, 02-392-6176,8,8,10, - ,215,96,270,126,337,184,31.6,41,27,8,5,4,2,26,
서부,서대문구,인창중학교,http://ic.ms.kr/, 사립, 남자, 120-012,서울특별시 서대문구 경기대로 65, 02-300-4567,6,6,6, - ,171, - ,162, - ,192, - ,29.2,31,12,2,1,4,1,18,
서부,서대문구,정원여자중학교,http://www.jungwon.ms.kr, 사립, 여자, 120-850,서울특별시 서대문구 연희로37안길 51, 02-394-6301,8,8,8, - ,221,221,215,215,206,206,26.8,42,29,4,4,4,2,26,
서부,서대문구,중앙여자중학교,http://jungang1940.ms.kr, 사립, 여자, 120-763,서울특별시 서대문구 북아현로11가길 7, 02-362-3064,5,5,6, - ,105,105,104,104,116,116,20.3,31,16,1,1,4,1,16,
서부,은평구,충암중학교,http://www.choongam.ms.kr, 사립, 공학, 122-952,서울특별시 은평구 가좌로5길 5, 02-309-2437,12,10,12, - ,308,142,331,158,412,165,30.9,50,28,14,8,4, - ,34,
서부,서대문구,한성중학교,http://www.hanseong.ms.kr, 사립, 남자, 120-821,서울특별시 서대문구 북아현로3길 24, 02-365-4942,8,8,8, - ,162, - ,171, - ,163, - ,20.7,48,3,2,2,4, - ,29,
서부,마포구,홍익대학교사범대학부속여자중학교,http://www.hongikg.ms.kr, 사립, 여자, 121-847,서울특별시 마포구 성미산로 51, 02-331-7307,5,5,5, - ,156,156,174,174,172,172,33.5,28,17,3,3,4, - ,26,
남부,금천구,가산중학교,http://www.gasan.ms.kr, 공립, 공학, 153-813,서울특별시 금천구 시흥대로115길 48, 02-804-1778,6,7,7,2,179,86,221,106,225,99,28.4,37,27,4,2,3,1,27,
남부,구로구,개봉중학교,www.gaebong.ms.kr, 공립, 공학, 152-802,서울특별시 구로구 고척로21나길 68, 02-2684-1112,7,8,6,2,204,107,248,125,203,111,28.5,39,27,5,5,4,2,29,
남부,구로구,개웅중학교,http://www.kaewoong.ms.kr, 공립, 공학, 152-812,"서울특별시 구로구 개봉로11길 81 , 개웅중학교", 02-2613-3342,10,10,10, - ,280,124,324,168,334,176,31.3,53,36,13,12,3,2,35,
남부,구로구,경인중학교,http://kyeongin.ms.kr, 공립, 공학, 152-805,서울특별시 구로구 경인로 301, 02-2612-6508,7,9,12,2,227,110,263,144,366,238,28.5,51,37,7,5,4,1,35,
남부,구로구,고척중학교,http://www.gocheok.ms.kr, 공립, 공학, 152-826,서울특별시 구로구 중앙로3길 20, 02-6917-7102,14,14,14,1,426,210,445,208,454,209,30.8,73,58,9,7,4, - ,42,
남부,구로구,구로중학교,http://www.guro.ms.kr, 공립, 공학, 152-840,서울특별시 구로구 구로중앙로 48, 02-890-4503,8,8,9,2,249,122,243,117,270,113,28.2,46,31,9,7,4, - ,40,
남부,구로구,구일중학교,http://kuil.ms.kr, 공립, 공학, 152-868,서울특별시 구로구 구일로 90-133, 02-2107-9103,7,9,8,1,206,79,266,135,246,124,28.7,44,34,7,4,4,1,25,
남부,금천구,난곡중학교,http://nangok.ms.kr, 공립, 공학, 153-820,서울특별시 금천구 문성로 67, 02-838-8033,6,8,9,1,160,78,238,118,270,129,27.8,43,29,2,2,4,1,23,
남부,영등포구,당산서중학교,http://www.dangsanseo.ms.kr, 공립, 공학, 150-045,서울특별시 영등포구 당산로41길 12, 02-2676-0961,7,7,7, - ,199,97,218,104,216,90,30.1,38,32,6,5,5,2,21,
남부,영등포구,당산중학교,http://dangsan.ms.kr, 공립, 공학, 150-040,서울특별시 영등포구 버드나루로 160, 02-2177-9900,6,6,7,1,177,74,196,104,205,100,28.9,35,25,3,3,4,2,24,
남부,영등포구,대림중학교,http://www.daerim.ms.kr, 공립, 공학, 150-822,서울특별시 영등포구 시흥대로185길 6, 02-845-2171,8,8,8,1,238,119,246,119,264,143,29.9,41,28,11,8,4,2,34,
남부,영등포구,대영중학교,http://daeyoung.ms.kr, 공립, 공학, 150-841,서울특별시 영등포구 도림로80가길 14, 02-848-7781,8,9,9, - ,255,126,294,148,282,144,32,47,33,3,3,5,1,27,
남부,영등포구,문래중학교,http://www.mullae.ms.kr, 공립, 공학, 150-096,서울특별시 영등포구 선유서로13길 6, 02-6712-0700,7,8,8, - ,229,102,234,119,244,99,30.7,43,30,2,2,4,1,23,
남부,금천구,문성중학교,http://www.munseong.ms.kr, 공립, 공학, 153-805,서울특별시 금천구 독산로102길 78, 02-858-8446,6,7,6, - ,167,82,224,106,180,83,30.1,37,27,5,2,3,1,31,
남부,영등포구,선유중학교,http://seonyoo.ms.kr, 공립, 공학, 150-103,서울특별시 영등포구 선유로 213, 02-2687-6521,7,7,7,1,206,91,225,97,203,84,28.8,37,27,7,6,4,2,28,
남부,금천구,세일중학교,http://www.seil.ms.kr, 공립, 공학, 153-863,서울특별시 금천구 시흥대로 147-34, 02-856-0868,6,6,6,2,184,73,175,75,192,81,27.6,33,26,7,5,3,2,19,
남부,금천구,시흥중학교,http://www.shi-heung.ms.kr, 공립, 공학, 153-030,서울특별시 금천구 시흥대로38길 60, 02-895-2301,11,11,10,1,314,214,352,212,306,232,29.5,56,44,8,7,2,2,35,
남부,구로구,신도림중학교,www.sindorim.ms.kr, 공립, 공학, 152-887,서울특별시 구로구 경인로63길 74, 02-2676-1993,12,12,11,1,362,182,399,201,345,178,30.7,62,47,4,3,3,1,37,
남부,금천구,안천중학교,http://www.ancheon.ms.kr, 공립, 공학, 153-833,서울특별시 금천구 한내로 69-44, 02-894-1204,7,8,7,1,200,102,233,104,213,104,28.1,42,31,7,6,2, - ,24,
남부,영등포구,양화중학교,http://www.yangwha.ms.kr, 공립, 공학, 150-834,서울특별시 영등포구 당산로 56, 02-2676-2282,8,9,8,1,231,116,287,150,246,117,29.4,45,38,2,2,4,2,27,
남부,영등포구,여의도중학교,http://www.yeouido.ms.kr, 공립, 공학, 150-888,서울특별시 영등포구 국제금융로7길 46, 02-2199-9500,11,10,11,1,328,158,334,162,349,165,30.6,57,40,9,5,4,1,43,
남부,영등포구,영남중학교,http://yeongnam.ms.kr, 공립, 공학, 150-815,서울특별시 영등포구 대림로31나길 17, 02-833-1003,8,10,9,3,257,104,300,124,296,145,28.4,50,44,8,5,4,1,30,
남부,구로구,영림중학교,http://younglim.ms.kr/, 공립, 공학, 152-842,서울특별시 구로구 가마산로27길 17, 02-859-0322,10,12,12,1,292,144,387,182,378,206,30.2,59,40,10,9,4,2,39,
남부,구로구,영서중학교,http://www.yeongseo.ms.kr, 공립, 공학, 152-847,서울특별시 구로구 도림로20길 35, 02-856-9567,8,10,9,3,259,128,324,132,302,139,29.5,50,43,10,9,6,5,37,
남부,영등포구,영원중학교,http://www.youngwon.ms.kr, 공립, 공학, 150-030,서울특별시 영등포구 영등포로62길 31, 02-843-2028,9,12,10,2,265,126,365,163,325,139,28.9,54,42,12,11,4,2,34,
남부,구로구,오남중학교,http://www.ohnam.ms.kr, 공립, 공학, 152-904,서울특별시 구로구 오리로9길 25, 02-2687-4235,6,8,11,1,191,103,266,144,337,171,30.5,45,29,3,3,4,1,28,
남부,구로구,오류중학교,http://www.oryu.ms.kr, 공립, 공학, 152-833,서울특별시 구로구 고척로27바길 19, 02-2612-2602,8,8,9,1,233,95,230,107,252,121,27.5,44,28,3,3,4,2,29,
남부,영등포구,윤중중학교,http://www.yunjung.ms.kr, 공립, 공학, 150-887,서울특별시 영등포구 여의동로3길 3, 02-780-8842,7,9,10,2,217,106,268,126,319,136,28.7,48,41,2,2,4,1,35,
남부,구로구,천왕중학교,http://cheonwang.ms.kr, 공립, 공학, 152-130,서울특별시 구로구 천왕로 63, 02-2618-2833,8,8, - ,1,245,171,253,186, - , - ,29.3,30,21,3,3,4,1, - ,
남부,금천구,한울중학교,http://www.hanwool.ms.kr, 공립, 공학, 153-820,서울특별시 금천구 남부순환로128길 42, 02-856-4941,9,8,9, - ,243,130,243,118,267,130,29,45,38,11,8,3,1,29,
남부,금천구,동일중학교,http://www.dongil.ms.kr, 사립, 공학, 153-030,서울특별시 금천구 탑골로10길 45, 02-803-9805,8,8,8, - ,224,144,257,170,260,147,30.9,38,20,6,6,4,1,24,
남부,금천구,문일중학교,http://www.moonil.ms.kr, 사립, 남자, 153-847,"서울특별시 금천구 시흥대로47길 45 , 문일중학교", 02-808-0297,8,8,8, - ,188, - ,206, - ,226, - ,25.8,39,12,8,4,4,1,24,
남부,구로구,우신중학교,http://wooshin.ms.kr, 사립, 남자, 152-883,서울특별시 구로구 부일로 917, 02-2610-1678,6,6,6, - ,158, - ,147, - ,165, - ,26.1,29,3,4,3,4, - ,18,
북부,노원구,공릉중학교,http://kongrung.ms.kr, 공립, 공학, 139-800,서울특별시 노원구 노원로1길 42, 02-971-5213,10,10,9,1,327,159,327,156,312,152,32.2,48,32,9,8,5,2,32,
북부,도봉구,노곡중학교,http://www.nogok.ms.kr, 공립, 공학, 132-901,서울특별시 도봉구 노해로70길 95, 02-996-5232,7,7,7,1,182,93,223,110,224,125,28.6,34,26,8,7,4,2,21,
북부,노원구,노원중학교,http://www.nowon.ms.kr, 공립, 공학, 139-830,서울특별시 노원구 동일로213길 26, 070-4032-6417,7,8,8,2,202,98,259,125,259,134,28.8,42,25,3,2,4,2,29,
북부,노원구,노일중학교,http://www.noil.ms.kr, 공립, 공학, 139-837,서울특별시 노원구 동일로231길 24, 02-3391-0092,8,9,8, - ,241,119,293,127,250,119,31.4,44,32,5,4,3,1,25,
북부,노원구,녹천중학교,http://www.nokcheon.ms.kr, 공립, 공학, 139-842,서울특별시 노원구 월계로 376, 02-978-4592,7,7,6,1,195,142,209,158,186,131,28.1,36,28,8,8,4,1,20,
북부,도봉구,도봉중학교,http://www.dobong.ms.kr, 공립, 공학, 132-821,서울특별시 도봉구 마들로 671, 02-954-4117,9,9,8,1,258,117,285,131,267,124,30,44,29,6,6,5,2,27,
북부,도봉구,방학중학교,http://www.banghak.ms.kr, 공립, 공학, 132-831,서울특별시 도봉구 시루봉로 188, 02-956-8343,8,8,8,2,226,103,261,127,260,108,28.7,40,29,10,7,4,1,26,
북부,도봉구,백운중학교,http://www.baekwoon.ms.kr, 공립, 공학, 132-862,서울특별시 도봉구 도봉로129길 50, 02-998-4035,8,9,9,2,245,98,280,112,306,101,29.7,43,28,8,5,5,2,28,
북부,도봉구,북서울중학교,http://www.bukseoul.ms.kr, 공립, 공학, 132-816,서울특별시 도봉구 도봉로169가길 33, 02-956-1004,8,8,8,1,228,121,223,103,228,106,27.2,40,21,10,9,4,1,28,
북부,노원구,불암중학교,http://www.bulam.ms.kr, 공립, 공학, 139-230,서울특별시 노원구 한글비석로5길 45, 02-948-2437,10,13,13, - ,353,171,474,206,462,227,35.8,59,46,7,7,4,2,36,
북부,노원구,상경중학교,http://www.sanggyung.ms.kr, 공립, 공학, 139-823,서울특별시 노원구 동일로227길 61, 02-939-3951,10,10,11, - ,295,145,326,167,368,181,31.9,52,39,3,1,4,2,32,
북부,노원구,상계제일중학교,http://www.sanggyejeil.ms.kr, 공립, 공학, 139-856,서울특별시 노원구 덕릉로86길 29-15, 02-930-3543,10,11,9,2,285,129,380,183,301,147,30.2,53,40,6,6,5,3,33,
북부,노원구,상계중학교,http://www.sanggye.ms.kr, 공립, 공학, 139-816,서울특별시 노원구 노원로 398, 02-936-6450,10,11,11,2,334,163,392,180,342,149,31.4,57,40,4,3,4,3,36,
북부,노원구,상원중학교,http://www.sang-won.ms.kr, 공립, 공학, 139-200,서울특별시 노원구 수락산로 182, 02-930-0761,8,10,10, - ,247,130,311,141,305,133,30.8,45,25,7,7,2,2,29,
북부,노원구,수락중학교,http://www.surak.ms.kr, 공립, 공학, 139-838,서울특별시 노원구 동일로 1729 수락중학교, 02-2092-1911,6,8,6,2,156,82,206,93,171,76,24.2,38,27,2,2,3,1,22,
